id,name,nameDisplay,abv,isOrganic,isRetired,createDate,updateDate,glass.name,style.category.name,style.category.createDate,style.name,style.shortName,style.ibuMin,style.ibuMax,style.abvMin,style.abvMax,style.srmMin,style.srmMax,style.ogMin,style.fgMin,style.fgMax,style.createDate,style.updateDate,ibu,available.name,year,style.ogMax,srm.name,servingTemperature,style.category.updateDate
YZXVKq,25th Anniversary,25th Anniversary,9.8,N,N,2015-12-11 15:48:31,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,American-Style Imperial Porter,American Imperial Porter,35.0,50.0,5.5,9.5,40.0,40.0,1.08,1.02,1.03,2013-08-10 12:42:51,2015-04-07 15:49:32,,,,1.1,,,
7z8RTq,3 Weight,3 Weight,4.0,N,N,2017-07-23 21:47:32,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,Session India Pale Ale,Session IPA,,,,,,,,,,2015-04-07 17:07:27,,,,,,,,
f5CWb6,"30th Anniversary - Charlie, Fred & Ken's Bock","30th Anniversary - Charlie, Fred & Ken's Bock",8.3,N,Y,2014-06-17 20:00:02,2018-11-02 02:15:14,,European-germanic Lager,2012-03-21 20:06:46,German-Style Heller Bock/Maibock,Maibock,20.0,38.0,6.0,8.0,4.0,10.0,1.0659999999999998,1.012,1.02,2012-03-21 20:06:46,2015-04-07 15:39:04,,Not Available,,,,,
0KEzfx,30th Anniversary - Fritz and Ken's Ale,30th Anniversary - Fritz and Ken's Ale,9.2,N,Y,2014-02-04 22:15:20,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,American-Style Imperial Stout,American Imperial Stout,50.0,80.0,7.0,12.0,40.0,40.0,1.08,1.02,1.03,2012-03-21 20:06:46,2015-04-07 15:28:49,,Not Available,,,,,
KjumXn,30th Anniversary - Grand Cru,30th Anniversary - Grand Cru,9.2,N,N,2018-05-10 17:15:23,2018-11-02 02:15:14,,Hybrid/mixed Beer,2012-03-21 20:06:46,Other Strong Ale or Lager,Strong Ale,,,,,,,,,,2012-03-21 20:06:46,2015-04-07 15:47:08,,,,,,,
8M5lCq,30th Anniversary - Jack & Ken's Ale,30th Anniversary - Jack & Ken's Ale,10.2,N,Y,2014-06-17 20:02:42,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,American-Style Barley Wine Ale,American Barleywine,60.0,100.0,8.4,12.0,11.0,22.0,1.09,1.024,1.028,2012-03-21 20:06:46,2015-04-07 15:27:08,,Not Available,,,,,
ajbd6g,35th Anniversary  - Brewer's Reserve,35th Anniversary  - Brewer's Reserve,8.0,N,N,2015-11-10 14:23:57,2018-11-02 02:15:14,,British Origin Ales,2012-03-21 20:06:45,Strong Ale,Strong Ale,30.0,65.0,7.0,11.0,8.0,21.0,1.06,1.014,1.04,2012-03-21 20:06:45,2015-04-07 15:21:05,,,,,,,
NoNhan,420 Extra Pale Ale,420 Extra Pale Ale,5.4,N,N,2012-01-03 02:44:20,2018-11-02 02:15:14,Pint,North American Origin Ales,2012-03-21 20:06:45,American-Style Pale Ale,American Pale,30.0,42.0,4.5,5.6,6.0,14.0,1.044,1.008,1.014,2012-03-21 20:06:45,2015-04-07 15:25:18,41.0,Year Round,,,,,
pOUbfg,420 Fest,420 Fest,8.0,N,N,2015-06-01 22:38:11,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,Imperial or Double India Pale Ale,Imperial IPA,65.0,100.0,7.5,10.5,5.0,13.0,1.075,1.012,1.02,2012-03-21 20:06:45,2015-04-07 15:26:46,,Limited,,,,,
jIKwgZ,420 Strain G13 IPA,420 Strain G13 IPA,6.0,N,N,2018-07-13 19:25:27,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,50.0,70.0,6.3,7.5,6.0,14.0,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,48.0,,,,,,
lWygSS,471 Double IPA - Hull Melon,471 Double IPA - Hull Melon,9.2,N,N,2015-11-18 18:37:22,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,Imperial or Double India Pale Ale,Imperial IPA,65.0,100.0,7.5,10.5,5.0,13.0,1.075,1.012,1.02,2012-03-21 20:06:45,2015-04-07 15:26:46,,Limited,,,,,
fa0oqf,471 ESB - Extra Special Bitter,471 ESB - Extra Special Bitter,7.8,N,Y,2012-01-03 02:42:37,2018-11-02 02:15:14,Pint,British Origin Ales,2012-03-21 20:06:45,Extra Special Bitter,ESB,30.0,45.0,4.8,5.8,8.0,14.0,1.046,1.01,1.016,2012-03-21 20:06:45,2015-04-07 15:19:20,55.0,Not Available,,,,,
HZMvCT,471 IPA Barrel Series: Citra,471 IPA Barrel Series: Citra,11.3,N,N,2017-04-19 13:37:27,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,Imperial or Double India Pale Ale,Imperial IPA,65.0,100.0,7.5,10.5,5.0,13.0,1.075,1.012,1.02,2012-03-21 20:06:45,2015-04-07 15:26:46,70.0,,,,,,
GysKeq,471 IPA Barrel Series: Eureka!,471 IPA Barrel Series: Eureka!,11.2,N,N,2016-11-30 19:13:16,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,Imperial or Double India Pale Ale,Imperial IPA,65.0,100.0,7.5,10.5,5.0,13.0,1.075,1.012,1.02,2012-03-21 20:06:45,2015-04-07 15:26:46,70.0,Limited,,,,,
tw2Iw0,471 IPA. Aggressive Hoppiness,471 IPA. Aggressive Hoppiness,9.2,N,Y,2012-01-03 02:42:37,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,Imperial or Double India Pale Ale,Imperial IPA,65.0,100.0,7.5,10.5,5.0,13.0,1.075,1.012,1.02,2012-03-21 20:06:45,2015-04-07 15:26:46,70.0,Not Available,,,,,
GYF0P4,471 Pilsner,471 Pilsner,,N,N,2012-01-03 02:42:37,2018-11-02 02:15:14,,North American Lager,2012-03-21 20:06:46,American-Style Pilsener,American Pilsener,25.0,40.0,5.0,6.0,3.0,6.0,1.045,1.012,1.018,2012-03-21 20:06:46,2015-04-07 15:40:08,,,,,,,
j9cp5e,471 Small Batch IPA,471 Small Batch IPA,9.2,N,N,2012-01-03 02:42:37,2018-11-02 02:15:14,Tulip,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,50.0,70.0,6.3,7.5,6.0,14.0,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,70.0,Year Round,,,11.0,,
5MX880,5 C's IPA,5 C's IPA,6.5,N,N,2012-01-03 02:42:37,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,50.0,70.0,6.3,7.5,6.0,14.0,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,,,,,,,
uA3MVL,7 Birds,7 Birds,5.0,Y,N,2015-07-14 20:56:20,2018-11-02 02:15:14,,North American Lager,2012-03-21 20:06:46,American-Style Pilsener,American Pilsener,25.0,40.0,5.0,6.0,3.0,6.0,1.045,1.012,1.018,2012-03-21 20:06:46,2015-04-07 15:40:08,13.0,,,,,,
Fhw2NF,7 Cities Pilsner,7 Cities Pilsner,5.0,Y,N,2015-07-14 20:28:12,2018-11-02 02:15:14,,North American Lager,2012-03-21 20:06:46,American-Style Pilsener,American Pilsener,25.0,40.0,5.0,6.0,3.0,6.0,1.045,1.012,1.018,2012-03-21 20:06:46,2015-04-07 15:40:08,32.0,,,,,,
MqTIG4,72 Imperial,72 Imperial,7.2,N,N,2014-07-17 14:35:54,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,Specialty Stouts,Stout,35.0,50.0,7.0,12.0,40.0,40.0,1.08,1.02,1.03,2012-03-21 20:06:46,2015-04-07 15:28:58,11.0,Limited,,,,,
wDgaK8,A Beer Named Sue,A Beer Named Sue,5.7,N,N,2015-04-06 16:47:09,2018-11-02 02:15:14,,Belgian And French Origin Ales,2012-03-21 20:06:46,French & Belgian-Style Saison,Saison,20.0,40.0,4.5,8.5,4.0,14.0,1.055,1.004,1.016,2012-03-21 20:06:46,2015-04-07 15:34:55,23.0,,,,,,
Au0v9G,A Little Sumpin' Extra,A Little Sumpin' Extra,8.7,N,N,2014-04-17 12:52:38,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,Imperial or Double India Pale Ale,Imperial IPA,65.0,100.0,7.5,10.5,5.0,13.0,1.075,1.012,1.02,2012-03-21 20:06:45,2015-04-07 15:26:46,,Seasonal,,,,,
svXHfu,A Little Sumpin' Sumpin',A Little Sumpin' Sumpin',7.5,N,N,2012-01-03 02:43:37,2018-11-02 02:15:14,Pint,North American Origin Ales,2012-03-21 20:06:45,American-Style Pale Ale,American Pale,30.0,42.0,4.5,5.6,6.0,14.0,1.044,1.008,1.014,2012-03-21 20:06:45,2015-04-07 15:25:18,64.2,Year Round,,,20.0,cold,
hbF6tu,ABLE Best Britter,ABLE Best Britter,4.3,N,N,2012-01-03 02:42:38,2018-11-02 02:15:14,Pint,British Origin Ales,2012-03-21 20:06:45,Special Bitter or Best Bitter,Special Bitter,28.0,40.0,4.1,4.8,6.0,14.0,1.038,1.006,1.012,2012-03-21 20:06:45,2015-04-07 15:19:15,,Limited,,,,,
MTLa3r,Afternooner,Afternooner,4.6,N,N,2012-10-10 23:41:23,2018-11-02 02:15:14,,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Pale Ale,Belgian Pale,20.0,30.0,4.0,6.0,6.0,12.0,1.044,1.008,1.014,2012-03-21 20:06:46,2015-04-07 15:32:06,,,,,,,
6AcqY6,Agave Wheat,Agave Wheat,5.9,N,N,2012-01-03 02:42:39,2018-11-02 02:15:14,Weizen,Hybrid/mixed Beer,2012-03-21 20:06:46,Light American Wheat Ale or Lager with Yeast,Wheat Ale,10.0,35.0,3.5,5.5,4.0,10.0,1.036,1.006,1.018,2012-03-21 20:06:46,2015-04-07 15:42:48,19.0,Year Round,,,,,
RK9Po6,Ale 20,Ale 20,5.7,N,N,2013-09-03 14:12:56,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,American-Style Pale Ale,American Pale,30.0,42.0,4.5,5.6,6.0,14.0,1.044,1.008,1.014,2012-03-21 20:06:45,2015-04-07 15:25:18,,,,,,,
yn4ODI,Ale Communication,Ale Communication,7.8,N,N,2012-10-10 23:41:24,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,Imperial Red Ale,Imperial Red,55.0,85.0,7.9,10.5,10.0,15.0,1.08,1.02,1.028,2012-03-21 20:06:46,2015-04-07 17:05:43,,,,,,,
2cLm8B,All Colorado Apricot Wheat,All Colorado Apricot Wheat,5.5,N,N,2017-12-14 15:18:59,2018-11-02 02:15:14,,Hybrid/mixed Beer,2012-03-21 20:06:46,Fruit Wheat Ale or Lager with or without Yeast,Fruit Wheat Ale,10.0,35.0,3.8,5.0,2.0,10.0,1.036,1.004,1.016,2012-03-21 20:06:46,2015-04-07 15:43:55,,,,,,,
DbeLZF,All Colorado Wet Hop Pale Ale,All Colorado Wet Hop Pale Ale,5.8,N,N,2017-12-20 13:54:10,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,American-Style Pale Ale,American Pale,30.0,42.0,4.5,5.6,6.0,14.0,1.044,1.008,1.014,2012-03-21 20:06:45,2015-04-07 15:25:18,,,,,,,
aG4Ie2,Alpha Dog Imperial IPA,Alpha Dog Imperial IPA,8.5,N,N,2013-05-02 18:24:18,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,Imperial or Double India Pale Ale,Imperial IPA,65.0,100.0,7.5,10.5,5.0,13.0,1.075,1.012,1.02,2012-03-21 20:06:45,2015-04-07 15:26:46,127.0,Year Round,,,6.0,,
hYaduh,Alt Route - Beer Camp Across America,Alt Route - Beer Camp Across America (2014),6.6,N,N,2014-05-08 11:50:47,2018-11-02 02:15:14,Pint,German Origin Ales,2012-03-21 20:06:46,German-Style Altbier,Altbier,25.0,52.0,4.3,5.5,11.0,19.0,1.044,1.008,1.014,2012-03-21 20:06:46,2015-04-07 17:08:31,50.0,Limited,2014.0,,,,
5TQX99,ALTitude,ALTitude,,N,N,2013-05-03 21:37:58,2018-11-02 02:15:14,,German Origin Ales,2012-03-21 20:06:46,German-Style Altbier,Altbier,25.0,52.0,4.3,5.5,11.0,19.0,1.044,1.008,1.014,2012-03-21 20:06:46,2015-04-07 17:08:31,,Limited,,,,,
qIa0fL,Amber Beer,Amber Beer,,N,N,2013-11-25 14:12:28,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,American-Style Amber/Red Ale,Amber,30.0,40.0,4.5,6.0,11.0,18.0,1.048,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:52,,,,,,,
Zd8Cxd,American Summer Hoppy Wit,American Summer Hoppy Wit,6.0,N,N,2016-09-13 22:00:03,2018-11-02 02:15:14,,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style White (or Wit) / Belgian-Style Wheat,Witbier,10.0,17.0,4.8,5.2,2.0,4.0,1.044,1.006,1.01,2012-03-21 20:06:46,2015-04-07 15:32:30,55.0,,,,,,
Ota9wv,Añejo Tequila Barrel Aged Gubna,Añejo Tequila Barrel Aged Gubna,11.0,N,N,2016-04-11 16:50:58,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,Imperial Red Ale,Imperial Red,55.0,85.0,7.9,10.5,10.0,15.0,1.08,1.02,1.028,2012-03-21 20:06:46,2015-04-07 17:05:43,,,,,9,,
b6nCMj,Anniversary Ale,Anniversary Ale,3.8,N,N,2012-10-10 23:41:25,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,American-Style Pale Ale,American Pale,30.0,42.0,4.5,5.6,6.0,14.0,1.044,1.008,1.014,2012-03-21 20:06:45,2015-04-07 15:25:18,,,,,,,
fBZZUJ,Anniversary Ale,Anniversary Ale,5.9,N,N,2018-04-30 00:39:07,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,50.0,70.0,6.3,7.5,6.0,14.0,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,,,,,,,
iEMsk8,Anniversary Ale 2007,Anniversary Ale 2007,5.9,N,N,2012-01-03 02:42:42,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,50.0,70.0,6.3,7.5,6.0,14.0,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,,,,,,,
ItEVNY,Anniversary Ale 2009,Anniversary Ale 2009,5.9,N,N,2014-12-11 22:42:49,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,50.0,70.0,6.3,7.5,6.0,14.0,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,,Limited,,,17,,
HIuMUM,Antwerpen Stout,Antwerpen Stout,8.0,N,N,2017-05-07 20:04:15,2018-11-02 02:15:14,,British Origin Ales,2012-03-21 20:06:45,Sweet or Cream Stout,Sweet Stout,15.0,25.0,3.0,6.0,40.0,40.0,1.045,1.012,1.02,2012-03-21 20:06:45,2015-04-07 15:24:41,,,,,,,
IyyejS,Anubis Imperial Coffee Porter,Anubis Imperial Coffee Porter,8.0,N,N,2013-05-02 22:45:34,2018-11-02 02:15:14,,British Origin Ales,2012-03-21 20:06:45,Brown Porter,Brown Porter,20.0,30.0,4.5,6.0,20.0,35.0,1.04,1.006,1.014,2012-03-21 20:06:45,2015-04-07 15:21:43,33.6,Year Round,,,Over 40,,
JCo28y,Asian Gold Blonde,Asian Gold Blonde,4.4,N,N,2014-03-29 12:35:42,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,Golden or Blonde Ale,Blonde,15.0,25.0,4.0,5.0,3.0,7.0,1.045,1.008,1.016,2012-03-21 20:06:46,2015-04-07 15:27:26,,,,,,,
uHEs7N,Audition - Altbier,Audition - Altbier,6.6,N,N,2014-03-13 12:09:39,2018-11-02 02:15:14,,German Origin Ales,2012-03-21 20:06:46,German-Style Altbier,Altbier,25.0,52.0,4.3,5.5,11.0,19.0,1.044,1.008,1.014,2012-03-21 20:06:46,2015-04-07 17:08:31,,,,,,,
fdnFoV,Audition - Belgian-Style Blonde,Audition - Belgian-Style Blonde,6.3,N,N,2014-03-13 12:08:28,2018-11-02 02:15:14,,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Blonde Ale,Belgian Blonde,15.0,30.0,6.0,7.8,4.0,7.0,1.054,1.008,1.014,2012-03-21 20:06:46,2015-04-07 15:32:01,,,,,,,
8ugUQF,Audition - Belgian-Style Pale Ale,Audition - Belgian-Style Pale Ale,5.3,N,N,2014-03-13 12:10:15,2018-11-02 02:15:14,,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Pale Ale,Belgian Pale,20.0,30.0,4.0,6.0,6.0,12.0,1.044,1.008,1.014,2012-03-21 20:06:46,2015-04-07 15:32:06,,,,,,,
zrqusY,Audition - Dark Ale,Audition - Dark Ale,8.5,N,N,2014-03-13 12:11:25,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,Dark American-Belgo-Style Ale,American/Belgian Dark,,,,,16.0,16.0,,,,2012-03-21 20:06:45,2015-04-07 15:26:14,,,,,,,
BJFSW8,Audition - Double IPA,Audition - Double IPA,8.5,N,N,2017-03-24 20:54:25,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,Imperial or Double India Pale Ale,Imperial IPA,65.0,100.0,7.5,10.5,5.0,13.0,1.075,1.012,1.02,2012-03-21 20:06:45,2015-04-07 15:26:46,,,,,,,
cBZj1z,Audition - English-Style Bitter,Audition - English-Style Bitter,5.6,N,N,2014-03-13 12:11:45,2018-11-02 02:15:14,,British Origin Ales,2012-03-21 20:06:45,Ordinary Bitter,Bitter,20.0,35.0,3.0,4.1,5.0,12.0,1.033,1.006,1.012,2012-03-21 20:06:45,2015-04-07 15:18:39,,,,,,,
NY86j7,Audition - Imperial Pilsner,Audition - Imperial Pilsner,8.0,N,N,2014-03-13 12:10:47,2018-11-02 02:15:14,Pilsner,North American Lager,2012-03-21 20:06:46,American-Style Pilsener,American Pilsener,25.0,40.0,5.0,6.0,3.0,6.0,1.045,1.012,1.018,2012-03-21 20:06:46,2015-04-07 15:40:08,,,,,,,
lEPIZg,Audition - Pale Ale,Audition - Pale Ale,6.5,N,N,2014-03-13 12:10:29,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,American-Style Pale Ale,American Pale,30.0,42.0,4.5,5.6,6.0,14.0,1.044,1.008,1.014,2012-03-21 20:06:45,2015-04-07 15:25:18,,,,,,,
WaxgGo,Audition - Pilsner,Audition - Pilsner,5.2,N,N,2014-03-13 12:09:56,2018-11-02 02:15:14,Pilsner,North American Lager,2012-03-21 20:06:46,American-Style Pilsener,American Pilsener,25.0,40.0,5.0,6.0,3.0,6.0,1.045,1.012,1.018,2012-03-21 20:06:46,2015-04-07 15:40:08,,,,,,,
HxW3xw,Audition - Rye Bock,Audition - Rye Bock,7.2,N,N,2014-03-13 12:09:23,2018-11-02 02:15:14,,Hybrid/mixed Beer,2012-03-21 20:06:46,Rye Ale or Lager with or without Yeast,Rye Ale,,,,,,,,,,2012-03-21 20:06:46,2015-04-07 15:44:12,,,,,,,
eOVHdT,Audition - Scotch Ale,Audition - Scotch Ale,7.3,N,N,2014-02-20 14:07:21,2018-11-02 02:15:14,,British Origin Ales,2012-03-21 20:06:45,Scotch Ale,Scotch Ale,25.0,35.0,6.2,8.0,15.0,30.0,1.072,1.016,1.028,2012-03-21 20:06:45,2015-04-07 15:21:11,,,,,,,
L0eAAB,Aunt Sally,Aunt Sally,5.7,N,N,2016-03-28 15:46:30,2018-11-02 02:15:14,,North American Origin Ales,2012-03-21 20:06:45,American-Style Sour Ale,Sour,,,,,,,,,,2012-03-21 20:06:46,2015-04-07 15:28:32,,,,,5,,
1unO6C,Autumn Ale,Autumn Ale,6.0,N,N,2012-01-03 02:42:43,2018-11-02 02:15:14,Pint,European-germanic Lager,2012-03-21 20:06:46,German-Style Märzen,Märzen,18.0,25.0,5.3,5.9,4.0,15.0,1.05,1.012,1.02,2012-03-21 20:06:46,2015-04-07 15:36:50,21.0,Seasonal,,,,,
nvfMg1,Avalanche Ale,Avalanche Ale,4.4,N,N,2012-01-03 02:42:43,2018-11-02 02:15:14,Pint,North American Origin Ales,2012-03-21 20:06:45,American-Style Amber/Red Ale,Amber,30.0,40.0,4.5,6.0,11.0,18.0,1.048,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:52,19.0,Year Round,,,,,
kLnpDN,Bad Luck Blonde,Bad Luck Blonde,6.5,N,N,2012-01-03 02:42:44,2018-11-02 02:15:14,Pint,North American Origin Ales,2012-03-21 20:06:45,Golden or Blonde Ale,Blonde,15.0,25.0,4.0,5.0,3.0,7.0,1.045,1.008,1.016,2012-03-21 20:06:46,2015-04-07 15:27:26,,,,,,,
PPM1hu,Balls Deep,Balls Deep,,N,N,2013-07-22 22:57:22,2018-11-02 02:15:14,,Hybrid/mixed Beer,2012-03-21 20:06:46,Specialty Beer,Specialty,,100.0,2.5,25.0,1.0,100.0,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:53,,Limited,,,,,
