id,name,nameDisplay,abv,ibu,availableId,styleId,isRetired,status,statusDisplay,createDate,updateDate,labels.icon,labels.medium,labels.large,labels.contentAwareIcon,labels.contentAwareMedium,labels.contentAwareLarge,available.id,available.name,available.description,style.id,style.categoryId,style.category.id,style.category.name,style.category.createDate,style.name,style.shortName,style.description,style.ibuMin,style.ibuMax,style.abvMin,style.abvMax,style.srmMin,style.srmMax,style.ogMin,style.fgMin,style.fgMax,style.createDate,style.updateDate,style.ogMax,year
FRtPM0,Bourbon Barrel Brown Shugga,Bourbon Barrel Brown Shugga,13,,,14,N,verified,Verified,2019-05-17 12:22:05,2019-05-17 12:22:05,,,,,,,,,,14,1,1,British Origin Ales,2012-03-21 20:06:45,Strong Ale,Strong Ale,"Light amber to mid-range brown in color, strong ales are medium to full bodied with a malty sweetness and may have low levels of roast malt character. Hop aroma should be minimal and flavor can vary from none to medium in character intensity. Fruity-ester flavors and aromas can contribute to the character of this ale. Bitterness should be minimal but evident and balanced with malt and/or caramel-like sweetness. Alcohol types can be varied and complex. A rich, often sweet and complex estery character may be evident. Very low levels of diacetyl are acceptable. Chill haze is acceptable at low temperatures. (This style may often be split into two categories, strong and very strong.)",30,65,7,11,8,21,1.06,1.014,1.04,2012-03-21 20:06:45,2015-04-07 15:21:05,,
TpiDMC,Brown Shugga',Brown Shugga',9.9,51.1,4.0,29,N,verified,Verified,2012-01-03 02:42:55,2017-01-03 13:10:53,https://brewerydb-images.s3.amazonaws.com/beer/TpiDMC/upload_bjZMsj-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/TpiDMC/upload_bjZMsj-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/TpiDMC/upload_bjZMsj-large.png,https://brewerydb-images.s3.amazonaws.com/beer/TpiDMC/upload_bjZMsj-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/TpiDMC/upload_bjZMsj-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/TpiDMC/upload_bjZMsj-contentAwareLarge.png,4.0,Seasonal,"Available at the same time of year, every year.",29,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Strong Pale Ale,American Strong Pale,"American strong pale ales range from deep golden to copper in color. The style is characterized by floral and citrus-like American-variety hops used to produce high hop bitterness, flavor, and aroma. Note that floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character is the perceived end, but may be a result of the skillful use of hops of other national origins. American strong pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruityester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.",40,50,5.5,6.3,6,14,1.05,1.008,1.016,2012-03-21 20:06:45,2015-04-07 15:26:32,,
1hYKql,C'mon Blue,C'mon Blue,5,,,25,N,verified,Verified,2019-05-04 15:29:09,2019-05-04 15:29:09,,,,,,,,,,25,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Pale Ale,American Pale,"American pale ales range from deep golden to copper in color. The style is characterized by fruity, floral and citrus-like American-variety hop character producing medium to medium-high hop bitterness, flavor, and aroma. Note that the ""traditional"" style of this beer has its origins with certain floral, fruity, citrus-like, piney, resinous, or sulfur-like American hop varietals. One or more of these hop characters is the perceived end, but the perceived hop characters may be a result of the skillful use of hops of other national origins. American pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruity-ester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.",30,42,4.5,5.6,6,14,1.044,1.008,1.014,2012-03-21 20:06:45,2015-04-07 15:25:18,,
qa1QZU,Cappuccino Stout,Cappuccino Stout,8.9,29.5,2.0,20,N,verified,Verified,2012-01-03 02:42:57,2016-11-11 18:41:10,https://brewerydb-images.s3.amazonaws.com/beer/qa1QZU/upload_NTwfKI-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/qa1QZU/upload_NTwfKI-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/qa1QZU/upload_NTwfKI-large.png,https://brewerydb-images.s3.amazonaws.com/beer/qa1QZU/upload_NTwfKI-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/qa1QZU/upload_NTwfKI-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/qa1QZU/upload_NTwfKI-contentAwareLarge.png,2.0,Limited,Limited availability.,20,1,1,British Origin Ales,2012-03-21 20:06:45,Sweet or Cream Stout,Sweet Stout,"Sweet stouts, also referred to as cream stouts, have less roasted bitter flavor and a full-bodied mouthfeel. The style can be given more body with milk sugar (lactose) before bottling. Malt sweetness, chocolate, and caramel flavor should dominate the flavor profile and contribute to the aroma. Hops should balance and suppress some of the sweetness without contributing apparent flavor or aroma. The overall impression should be sweet and full-bodied.",15,25,3,6,40,40,1.045,1.012,1.02,2012-03-21 20:06:45,2015-04-07 15:24:41,,
lyc9as,Censored (Kronik),Censored (Kronik),6.75,,,32,N,verified,Verified,2018-04-30 00:11:53,2018-05-24 15:17:26,,,,,,,,,,32,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Amber/Red Ale,Amber,"American amber/red ales range from light copper to light brown in color. They are characterized by American-variety hops used to produce the perception of medium hop bitterness, flavor, and medium aroma. Amber ales have medium-high to high maltiness with medium to low caramel character. They should have medium to medium-high body. The style may have low levels of fruityester flavor and aroma. Diacetyl can be either absent or barely perceived at very low levels. Chill haze is allowable at cold temperatures. Slight yeast haze is acceptable for bottle-conditioned products.",30,40,4.5,6,11,18,1.048,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:52,,
tZkS7X,Censored Imperial Stout,Censored Imperial Stout,9.9,,,32,N,verified,Verified,2018-05-10 21:00:14,2018-06-13 20:28:42,,,,,,,,,,32,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Amber/Red Ale,Amber,"American amber/red ales range from light copper to light brown in color. They are characterized by American-variety hops used to produce the perception of medium hop bitterness, flavor, and medium aroma. Amber ales have medium-high to high maltiness with medium to low caramel character. They should have medium to medium-high body. The style may have low levels of fruityester flavor and aroma. Diacetyl can be either absent or barely perceived at very low levels. Chill haze is allowable at cold temperatures. Slight yeast haze is acceptable for bottle-conditioned products.",30,40,4.5,6,11,18,1.048,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:52,,
GboTWT,Censored Rich Copper Ale,Censored Rich Copper Ale,6.75,,1.0,32,N,verified,Verified,2012-01-03 02:42:58,2015-12-16 05:00:13,https://brewerydb-images.s3.amazonaws.com/beer/GboTWT/upload_mnGRl3-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/GboTWT/upload_mnGRl3-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/GboTWT/upload_mnGRl3-large.png,https://brewerydb-images.s3.amazonaws.com/beer/GboTWT/upload_mnGRl3-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/GboTWT/upload_mnGRl3-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/GboTWT/upload_mnGRl3-contentAwareLarge.png,1.0,Year Round,Available year round as a staple beer.,32,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Amber/Red Ale,Amber,"American amber/red ales range from light copper to light brown in color. They are characterized by American-variety hops used to produce the perception of medium hop bitterness, flavor, and medium aroma. Amber ales have medium-high to high maltiness with medium to low caramel character. They should have medium to medium-high body. The style may have low levels of fruityester flavor and aroma. Diacetyl can be either absent or barely perceived at very low levels. Chill haze is allowable at cold temperatures. Slight yeast haze is acceptable for bottle-conditioned products.",30,40,4.5,6,11,18,1.048,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:52,,
WHKIRY,Cherry Hotside Sour,Cherry Hotside Sour,4.8,,,170,N,verified,Verified,2018-05-10 19:57:20,2018-06-13 20:26:16,,,,,,,,,,170,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Wild Beer,Wild Beer,"Wild Beers are any range of color. These beers may be clear or hazy due to yeast, chill haze or hop haze. Aromas may vary tremendously due to fermentation characters contributed by various known and unknown microorganisms. The overall balance should be complex and balanced. Hop aroma very low to high. Usually because of a high degree of attenuation in these beers, malt character is very low to low. If there are exceptions that are malty, the overall balance of complexity of other characters should be in harmony. Hop flavor very low to high. Hop bitterness is perceived at varying levels depending on the overall balance, but usually perceived as very low to low. Wild beers are ""spontaneously"" fermented with microorganisms that the brewer has introduced from the ambient air/environment in the vicinity of the brewery in which the beer is brewed. Wild beers may not be fermented with any cultured strains of yeast or bacteria. Wild beer may or may not be perceived as acidic. It may include a wildly variable spectrum of flavors and aromas derived from the wild microorganisms with which it was fermented. The overall balance of flavors, aromas, appearance and body is an important factor in assessing these beers. Body is very low to medium. Spontaneously fermented beers with fruit, spice or other ingredients would be appropriately entered as Wild Beer. For purposes of competition, entries which could be appropriately entered in an existing classic or traditional category such as Belgian-Style Lambic, Gueuze, Fruit Lambic, etc. should be entered in that category and not entered as a Wild Beer.",,,,,,,,,,2015-04-07 17:21:44,,,
zhzeah,Cherry Jane,Cherry Jane,5.5,9,,40,N,verified,Verified,2018-06-30 12:36:34,2018-06-30 12:37:04,https://brewerydb-images.s3.amazonaws.com/beer/zhzeah/upload_fZUq88-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/zhzeah/upload_fZUq88-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/zhzeah/upload_fZUq88-large.png,https://brewerydb-images.s3.amazonaws.com/beer/zhzeah/upload_fZUq88-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/zhzeah/upload_fZUq88-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/zhzeah/upload_fZUq88-contentAwareLarge.png,,,,40,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Sour Ale,Sour,"American sour ales can be very light to black or take on the color of added fruits or other ingredients. There is no Brettanomyces character in this style of beer. Wood- and barrel-aged sour ales are classified elsewhere. If acidity is present it is usually in the form of lactic, acetic and other organic acids naturally developed with acidified malt in the mash or in fermentation by the use of various microorganisms including certain bacteria and yeasts. Acidic character can be a complex balance of several types of acid and characteristics of age. The evolution of natural acidity develops balanced complexity. Residual flavors that come from liquids previously aged in a barrel such as bourbon or sherry should not be present. Wood vessels may be used during the fermentation and aging process, but wood-derived flavors such as vanillin must not be present. In darker versions, roasted malt, caramel-like and chocolate-like characters should be subtle in both flavor and aroma. American sour may have evident full range of hop aroma and hop bitterness with a full range of body. Estery and fruity-ester characters are evident, sometimes moderate and sometimes intense, yet balanced. Diacetyl and sweet corn-like dimethylsulfide (DMS) should not be perceived. Chill haze, bacteria and yeast-induced haze are allowable at low to medium levels at any temperature. Fruited American-Style Sour Ales will exhibit fruit flavors in harmonious balance with other characters.",,,,,,,,,,2012-03-21 20:06:46,2015-04-07 15:28:32,,
8pAabO,CitruSinensis,CitruSinensis,7.9,,4.0,25,N,verified,Verified,2015-06-29 12:34:50,2017-03-14 16:57:54,https://brewerydb-images.s3.amazonaws.com/beer/8pAabO/upload_z8hm53-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/8pAabO/upload_z8hm53-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/8pAabO/upload_z8hm53-large.png,https://brewerydb-images.s3.amazonaws.com/beer/8pAabO/upload_z8hm53-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/8pAabO/upload_z8hm53-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/8pAabO/upload_z8hm53-contentAwareLarge.png,4.0,Seasonal,"Available at the same time of year, every year.",25,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Pale Ale,American Pale,"American pale ales range from deep golden to copper in color. The style is characterized by fruity, floral and citrus-like American-variety hop character producing medium to medium-high hop bitterness, flavor, and aroma. Note that the ""traditional"" style of this beer has its origins with certain floral, fruity, citrus-like, piney, resinous, or sulfur-like American hop varietals. One or more of these hop characters is the perceived end, but the perceived hop characters may be a result of the skillful use of hops of other national origins. American pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruity-ester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.",30,42,4.5,5.6,6,14,1.044,1.008,1.014,2012-03-21 20:06:45,2015-04-07 15:25:18,,
