id,name,nameDisplay,abv,ibu,availableId,styleId,isRetired,status,statusDisplay,createDate,updateDate,labels.icon,labels.medium,labels.large,labels.contentAwareIcon,labels.contentAwareMedium,labels.contentAwareLarge,available.id,available.name,available.description,style.id,style.categoryId,style.category.id,style.category.name,style.category.createDate,style.name,style.shortName,style.description,style.ibuMin,style.ibuMax,style.abvMin,style.abvMax,style.srmMin,style.srmMax,style.ogMin,style.fgMin,style.fgMax,style.createDate,style.updateDate,style.ogMax,year
YP23p4,Bonfire Blonde,Bonfire Blonde,5.5,,2.0,36,N,verified,Verified,2016-11-02 01:37:16,2019-06-28 14:49:21,https://brewerydb-images.s3.amazonaws.com/beer/YP23p4/upload_NVxbiN-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/YP23p4/upload_NVxbiN-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/YP23p4/upload_NVxbiN-large.png,https://brewerydb-images.s3.amazonaws.com/beer/YP23p4/upload_NVxbiN-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/YP23p4/upload_NVxbiN-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/YP23p4/upload_NVxbiN-contentAwareLarge.png,2.0,Limited,Limited availability.,36,3,3,North American Origin Ales,2012-03-21 20:06:45,Golden or Blonde Ale,Blonde,"Golden or Blonde ales are straw to golden blonde in color. They have a crisp, dry palate, light to medium body, and light malt sweetness. Low to medium hop aroma may be present but does not dominate. Bitterness is low to medium. Fruity esters may be perceived but do not predominate. Diacetyl should not be perceived. Chill haze should be absent.",15,25,4,5,3,7,1.045,1.008,1.016,2012-03-21 20:06:46,2015-04-07 15:27:26,,
a8DK7T,Burke in the Bootle BBQ Peach,Burke in the Bootle BBQ Peach,,,,119,N,verified,Verified,2012-01-03 02:42:56,2015-12-16 10:09:29,https://brewerydb-images.s3.amazonaws.com/beer/a8DK7T/upload_Xlbswk-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/a8DK7T/upload_Xlbswk-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/a8DK7T/upload_Xlbswk-large.png,https://brewerydb-images.s3.amazonaws.com/beer/a8DK7T/upload_Xlbswk-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/a8DK7T/upload_Xlbswk-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/a8DK7T/upload_Xlbswk-contentAwareLarge.png,,,,119,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Fruit Beer,Fruit Beer,"Fruit beers are any beers using fruit or fruit extracts as an adjunct in either, the mash, kettle, primary or secondary fermentation providing obvious (ranging from subtle to intense), yet harmonious, fruit qualities. Fruit qualities should not be overpowered by hop character. If a fruit (such as juniper berry) has an herbal or spice quality, it is more appropriate to consider it in the herb and spice beers category. Acidic bacterial (not wild yeast) fermentation characters may be evident (but not necessary) they would contribute to acidity and enhance fruity balance. Clear or hazy beer is acceptable in appearance. A statement by the brewer explaining what fruits are used is essential in order for fair assessment in competitions. If this beer is a classic style with fruit, the brewer should also specify the classic style.",5,70,2.5,12,5,50,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:21,,
QfbZOM,Burke in the Bottle Spicy Tomato Ale,Burke in the Bottle Spicy Tomato Ale,,,4.0,124,N,verified,Verified,2012-10-24 13:36:26,2015-12-16 20:27:32,https://brewerydb-images.s3.amazonaws.com/beer/QfbZOM/upload_mZxzW9-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/QfbZOM/upload_mZxzW9-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/QfbZOM/upload_mZxzW9-large.png,https://brewerydb-images.s3.amazonaws.com/beer/QfbZOM/upload_mZxzW9-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/QfbZOM/upload_mZxzW9-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/QfbZOM/upload_mZxzW9-contentAwareLarge.png,4.0,Seasonal,"Available at the same time of year, every year.",124,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Herb and Spice Beer,Spice Beer,"Herb beers use herbs or spices (derived from roots, seeds, fruits, vegetable, flowers, etc.) other than or in addition to hops to create a distinct (ranging from subtle to intense) character, though individual characters of herbs and/or spices used may not always be identifiable. Under hopping often, but not always, allows the spice or herb to contribute to the flavor profile. Positive evaluations are significantly based on perceived balance of flavors. Note: Chili-flavored beers that emphasize heat rather than chili flavor should be entered as a ""spiced"" beer.  A statement by the brewer explaining what herbs or spices are used is essential in order for fair assessment in competitions. Specifying a style upon which the beer is based may help evaluation. If this beer is a classic style with an herb or spice, the brewer should specify the classic style. If no Chocolate or Coffee category exists in a competition, then chocolate and coffee beers should be entered in this category.",5,70,2.5,12,5,50,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:45,,
35ImQk,Cinder Bock,Cinder Bock,9.4,25,2.0,88,N,verified,Verified,2012-01-03 02:42:59,2015-12-16 14:29:07,https://brewerydb-images.s3.amazonaws.com/beer/35ImQk/upload_3hgcUs-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/35ImQk/upload_3hgcUs-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/35ImQk/upload_3hgcUs-large.png,https://brewerydb-images.s3.amazonaws.com/beer/35ImQk/upload_3hgcUs-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/35ImQk/upload_3hgcUs-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/35ImQk/upload_3hgcUs-contentAwareLarge.png,2.0,Limited,Limited availability.,88,7,7,European-germanic Lager,2012-03-21 20:06:46,Traditional German-Style Bock,Bock,"Traditional bocks are made with all malt and are strong, malty, medium- to full-bodied, bottom-fermented beers with moderate hop bitterness that should increase proportionately with the starting gravity. Malt character should be a balance of sweetness and toasted/nut-like malt; not caramel. Hop flavor should be low and hop aroma should be very low. Bocks can range in color from deep copper to dark brown. Fruity esters should be minimal. Diacetyl should be absent.",20,30,6.3,7.5,20,30,1.066,1.018,1.024,2012-03-21 20:06:46,2015-04-07 15:38:54,,
iHv4Av,Cold Snap,Cold Snap,5.3,7,4.0,65,N,verified,Verified,2013-09-01 13:23:00,2019-03-11 17:35:57,https://brewerydb-images.s3.amazonaws.com/beer/iHv4Av/upload_lXKsC2-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/iHv4Av/upload_lXKsC2-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/iHv4Av/upload_lXKsC2-large.png,https://brewerydb-images.s3.amazonaws.com/beer/iHv4Av/upload_lXKsC2-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/iHv4Av/upload_lXKsC2-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/iHv4Av/upload_lXKsC2-contentAwareLarge.png,4.0,Seasonal,"Available at the same time of year, every year.",65,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style White (or Wit) / Belgian-Style Wheat,Witbier,Belgian white ales are very pale in color and are brewed using unmalted wheat and malted barley and are spiced with coriander and orange peel. Coriander and light orange peel aroma should be perceived as such or as an unidentified spiciness. Phenolic spiciness and yeast flavors may be evident at mild levels. These beers are traditionally bottle conditioned and served cloudy. An unfiltered starch and yeast haze should be part of the appearance. The low to medium body should have some degree of creaminess from wheat starch. The style is further characterized by the use of noble-type hops to achieve low hop bitterness and little to no apparent hop flavor. This beer has no diacetyl and a low to medium fruity-ester level. Mild acidity is appropriate.,10,17,4.8,5.2,2,4,1.044,1.006,1.01,2012-03-21 20:06:46,2015-04-07 15:32:30,,
rvhjKL,Crystal Pale Ale,Crystal Pale Ale,5.3,35,4.0,25,N,verified,Verified,2015-03-13 23:44:15,2015-12-18 00:05:38,https://brewerydb-images.s3.amazonaws.com/beer/rvhjKL/upload_qQjeXr-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/rvhjKL/upload_qQjeXr-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/rvhjKL/upload_qQjeXr-large.png,https://brewerydb-images.s3.amazonaws.com/beer/rvhjKL/upload_qQjeXr-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/rvhjKL/upload_qQjeXr-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/rvhjKL/upload_qQjeXr-contentAwareLarge.png,4.0,Seasonal,"Available at the same time of year, every year.",25,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Pale Ale,American Pale,"American pale ales range from deep golden to copper in color. The style is characterized by fruity, floral and citrus-like American-variety hop character producing medium to medium-high hop bitterness, flavor, and aroma. Note that the ""traditional"" style of this beer has its origins with certain floral, fruity, citrus-like, piney, resinous, or sulfur-like American hop varietals. One or more of these hop characters is the perceived end, but the perceived hop characters may be a result of the skillful use of hops of other national origins. American pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruity-ester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.",30,42,4.5,5.6,6,14,1.044,1.008,1.014,2012-03-21 20:06:45,2015-04-07 15:25:18,,
lCzE0A,Double Agent IPL,Double Agent IPL,5,43,1.0,93,N,verified,Verified,2012-10-29 15:37:18,2015-12-16 20:33:59,https://brewerydb-images.s3.amazonaws.com/beer/lCzE0A/upload_iwi94n-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/lCzE0A/upload_iwi94n-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/lCzE0A/upload_iwi94n-large.png,https://brewerydb-images.s3.amazonaws.com/beer/lCzE0A/upload_iwi94n-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/lCzE0A/upload_iwi94n-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/lCzE0A/upload_iwi94n-contentAwareLarge.png,1.0,Year Round,Available year round as a staple beer.,93,8,8,North American Lager,2012-03-21 20:06:46,American-Style Lager,American Lager,"Light in body and very light to straw in color, American lagers are very clean and crisp and aggressively carbonated. Flavor components should b e subtle and complex, with no one ingredient dominating the others. Malt sweetness is light to mild. Corn, rice, or other grain or sugar adjuncts are often used. Hop bitterness, flavor and aroma are negligible to very light. Light fruity esters are acceptable. Chill haze and diacetyl should be absent.",5,13,3.8,5,2,4,1.04,1.006,1.01,2012-03-21 20:06:46,2015-04-07 15:39:26,,
Ke1WPI,Double Black,Double Black,7,,,103,N,verified,Verified,2014-04-09 11:14:31,2015-12-17 12:27:16,https://brewerydb-images.s3.amazonaws.com/beer/Ke1WPI/upload_U7O9UW-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/Ke1WPI/upload_U7O9UW-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/Ke1WPI/upload_U7O9UW-large.png,https://brewerydb-images.s3.amazonaws.com/beer/Ke1WPI/upload_U7O9UW-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/Ke1WPI/upload_U7O9UW-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/Ke1WPI/upload_U7O9UW-contentAwareLarge.png,,,,103,8,8,North American Lager,2012-03-21 20:06:46,American-Style Dark Lager,American Dark Lager,"This beer's malt aroma and flavor are low but notable. Its color ranges from a very deep copper to a deep, dark brown. It has a clean, light body with discreet contributions from caramel and roasted malts. Non-malt adjuncts are often used, and hop rates are low. Hop bitterness is clean and has a short duration of impact. Hop flavor, and aroma are low. Carbonation is high. Fruity esters, diacetyl, and chill haze should not be perceived.",14,20,4,5.5,14,25,1.04,1.008,1.012,2012-03-21 20:06:46,2015-04-07 15:41:42,,
AwOZEC,Double Pilsner,Double Pilsner,8.6,,,98,N,verified,Verified,2014-08-29 13:15:03,2015-12-17 15:42:36,https://brewerydb-images.s3.amazonaws.com/beer/AwOZEC/upload_qYOTIB-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/AwOZEC/upload_qYOTIB-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/AwOZEC/upload_qYOTIB-large.png,https://brewerydb-images.s3.amazonaws.com/beer/AwOZEC/upload_qYOTIB-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/AwOZEC/upload_qYOTIB-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/AwOZEC/upload_qYOTIB-contentAwareLarge.png,,,,98,8,8,North American Lager,2012-03-21 20:06:46,American-Style Pilsener,American Pilsener,"This classic and unique pre-Prohibition American-style Pilsener is straw to deep gold in color. Hop bitterness, flavor and aroma are medium to high, and use of noble-type hops for flavor and aroma is preferred. Up to 25 percent corn and/or rice in the grist should be used. Malt flavor and aroma are medium. This is a light-medium to medium-bodied beer. Sweet corn-like dimethylsulfide (DMS), fruity esters and American hop-derived citrus flavors or aromas should not be perceived. Diacetyl is not acceptable. There should be no chill haze. Competition organizers may wish to subcategorize this style into rice and corn subcategories.",25,40,5,6,3,6,1.045,1.012,1.018,2012-03-21 20:06:46,2015-04-07 15:40:08,,
uTfSdz,Double Pumpkin Ale,Double Pumpkin Ale,8,,4.0,124,N,verified,Verified,2012-01-03 02:43:06,2015-12-16 11:48:01,https://brewerydb-images.s3.amazonaws.com/beer/uTfSdz/upload_mM3QtB-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/uTfSdz/upload_mM3QtB-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/uTfSdz/upload_mM3QtB-large.png,https://brewerydb-images.s3.amazonaws.com/beer/uTfSdz/upload_mM3QtB-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/uTfSdz/upload_mM3QtB-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/uTfSdz/upload_mM3QtB-contentAwareLarge.png,4.0,Seasonal,"Available at the same time of year, every year.",124,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Herb and Spice Beer,Spice Beer,"Herb beers use herbs or spices (derived from roots, seeds, fruits, vegetable, flowers, etc.) other than or in addition to hops to create a distinct (ranging from subtle to intense) character, though individual characters of herbs and/or spices used may not always be identifiable. Under hopping often, but not always, allows the spice or herb to contribute to the flavor profile. Positive evaluations are significantly based on perceived balance of flavors. Note: Chili-flavored beers that emphasize heat rather than chili flavor should be entered as a ""spiced"" beer.  A statement by the brewer explaining what herbs or spices are used is essential in order for fair assessment in competitions. Specifying a style upon which the beer is based may help evaluation. If this beer is a classic style with an herb or spice, the brewer should specify the classic style. If no Chocolate or Coffee category exists in a competition, then chocolate and coffee beers should be entered in this category.",5,70,2.5,12,5,50,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:45,,
