id,name,nameDisplay,abv,styleId,isRetired,status,statusDisplay,createDate,updateDate,style.id,style.categoryId,style.category.id,style.category.name,style.category.createDate,style.name,style.shortName,style.description,style.ibuMin,style.ibuMax,style.abvMin,style.abvMax,style.srmMin,style.srmMax,style.ogMin,style.fgMin,style.fgMax,style.createDate,style.updateDate,labels.icon,labels.medium,labels.large,labels.contentAwareIcon,labels.contentAwareMedium,labels.contentAwareLarge,style.ogMax,ibu,availableId,available.id,available.name,available.description
9kidXn,Bitter American,Bitter American,4.4,4,N,verified,Verified,2012-01-03 02:42:49,2015-12-16 03:00:36,4,1,1,British Origin Ales,2012-03-21 20:06:45,Special Bitter or Best Bitter,Special Bitter,"Special bitter is more robust than ordinary bitter. It has medium body and medium residual malt sweetness. It is deep gold to copper colored. Hop bitterness should be medium and absent of harshness. Hop flavor and aroma character may be evident at the brewer's discretion. Mild carbonation traditionally characterizes draft-cask versions, but in bottled versions, a slight increase in carbon dioxide content is acceptable. Fruity-ester character is acceptable in aroma and flavor. Diacetyl (butterscotch character) is acceptable and characteristic when at very low levels. The absence of diacetyl is also acceptable. Chill haze is allowable at cold temperatures. (English and American hop character may be specified in subcategories.)",28,40,4.1,4.8,6,14,1.038,1.006,1.012,2012-03-21 20:06:45,2015-04-07 15:19:15,https://brewerydb-images.s3.amazonaws.com/beer/9kidXn/upload_Ztp27I-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/9kidXn/upload_Ztp27I-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/9kidXn/upload_Ztp27I-large.png,https://brewerydb-images.s3.amazonaws.com/beer/9kidXn/upload_Ztp27I-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/9kidXn/upload_Ztp27I-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/9kidXn/upload_Ztp27I-contentAwareLarge.png,,42,1.0,1.0,Year Round,Available year round as a staple beer.
cx2G9U,Blah Blah Blah,Blah Blah Blah,7.7,30,N,verified,Verified,2014-11-14 15:37:35,2015-12-17 19:10:22,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,https://brewerydb-images.s3.amazonaws.com/beer/cx2G9U/upload_j2m8nV-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/cx2G9U/upload_j2m8nV-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/cx2G9U/upload_j2m8nV-large.png,https://brewerydb-images.s3.amazonaws.com/beer/cx2G9U/upload_j2m8nV-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/cx2G9U/upload_j2m8nV-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/cx2G9U/upload_j2m8nV-contentAwareLarge.png,,68,,,,
rtMecd,Brew Free or Die IPA,Brew Free or Die IPA,7,30,N,verified,Verified,2012-01-03 02:42:54,2015-12-16 07:59:26,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,https://brewerydb-images.s3.amazonaws.com/beer/rtMecd/upload_Lh8Is8-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/rtMecd/upload_Lh8Is8-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/rtMecd/upload_Lh8Is8-large.png,https://brewerydb-images.s3.amazonaws.com/beer/rtMecd/upload_Lh8Is8-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/rtMecd/upload_Lh8Is8-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/rtMecd/upload_Lh8Is8-contentAwareLarge.png,,70,1.0,1.0,Year Round,Available year round as a staple beer.
LSmhjv,Brew Free! Or Die Blood Orange IPA,Brew Free! Or Die Blood Orange IPA,7,30,N,verified,Verified,2017-02-02 15:35:58,2018-07-20 16:00:41,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,https://brewerydb-images.s3.amazonaws.com/beer/LSmhjv/upload_rOzLlr-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/LSmhjv/upload_rOzLlr-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/LSmhjv/upload_rOzLlr-large.png,https://brewerydb-images.s3.amazonaws.com/beer/LSmhjv/upload_rOzLlr-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/LSmhjv/upload_rOzLlr-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/LSmhjv/upload_rOzLlr-contentAwareLarge.png,,70,,,,
icDuui,Double Trouble IPA,Double Trouble IPA,9.8,31,N,verified,Verified,2012-01-03 02:43:06,2016-12-20 13:22:12,31,3,3,North American Origin Ales,2012-03-21 20:06:45,Imperial or Double India Pale Ale,Imperial IPA,"Imperial or Double India Pale Ales have intense hop bitterness, flavor and aroma. Alcohol content is medium-high to high and notably evident. They range from deep golden to medium copper in color. The style may use any variety of hops. Though the hop character is intense it's balanced with complex alcohol flavors, moderate to high fruity esters and medium to high malt character. Hop character should be fresh and lively and should not be harsh in quality. The use of large amounts of hops may cause a degree of appropriate hop haze. Imperial or Double India Pale Ales have medium-high to full body. Diacetyl should not be perceived. The intention of this style of beer is to exhibit the fresh and bright character of hops. Oxidative character and aged character should not be present.",65,100,7.5,10.5,5,13,1.075,1.012,1.02,2012-03-21 20:06:45,2015-04-07 15:26:46,,,,,,,,,,,,
5AJVRp,Down To Earth,Down To Earth,4.4,164,N,verified,Verified,2015-04-18 23:42:25,2017-10-08 21:53:23,164,3,3,North American Origin Ales,2012-03-21 20:06:45,Session India Pale Ale,Session IPA,"Session India Pale Ales are gold to copper. Chill haze is allowable at cold temperatures and hop haze is allowable at any temperature. Fruity-ester aroma is light to moderate. Hop aroma is medium to high with qualities from a wide variety of hops from all over the world. Low to medium maltiness is present. Hop flavor is strong, characterized by flavors from a wide variety of hops. Hop bitterness is medium to high. Fruity-ester flavors are low to moderate. Diacetyl is absent or at very low levels. Body is low to medium.",,,,,,,,,,2015-04-07 17:07:27,,https://brewerydb-images.s3.amazonaws.com/beer/5AJVRp/upload_qp1MJ9-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/5AJVRp/upload_qp1MJ9-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/5AJVRp/upload_qp1MJ9-large.png,https://brewerydb-images.s3.amazonaws.com/beer/5AJVRp/upload_qp1MJ9-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/5AJVRp/upload_qp1MJ9-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/5AJVRp/upload_qp1MJ9-contentAwareLarge.png,,42,1.0,1.0,Year Round,Available year round as a staple beer.
LUj8RN,Dub Step,Dub Step,10,31,N,verified,Verified,2015-02-18 18:24:22,2015-02-27 22:17:01,31,3,3,North American Origin Ales,2012-03-21 20:06:45,Imperial or Double India Pale Ale,Imperial IPA,"Imperial or Double India Pale Ales have intense hop bitterness, flavor and aroma. Alcohol content is medium-high to high and notably evident. They range from deep golden to medium copper in color. The style may use any variety of hops. Though the hop character is intense it's balanced with complex alcohol flavors, moderate to high fruity esters and medium to high malt character. Hop character should be fresh and lively and should not be harsh in quality. The use of large amounts of hops may cause a degree of appropriate hop haze. Imperial or Double India Pale Ales have medium-high to full body. Diacetyl should not be perceived. The intention of this style of beer is to exhibit the fresh and bright character of hops. Oxidative character and aged character should not be present.",65,100,7.5,10.5,5,13,1.075,1.012,1.02,2012-03-21 20:06:45,2015-04-07 15:26:46,,,,,,,,,,,,
HAYJWT,El Camino (un)Real,El Camino (un)Real,9.5,124,N,verified,Verified,2017-09-06 14:52:39,2017-09-06 14:52:39,124,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Herb and Spice Beer,Spice Beer,"Herb beers use herbs or spices (derived from roots, seeds, fruits, vegetable, flowers, etc.) other than or in addition to hops to create a distinct (ranging from subtle to intense) character, though individual characters of herbs and/or spices used may not always be identifiable. Under hopping often, but not always, allows the spice or herb to contribute to the flavor profile. Positive evaluations are significantly based on perceived balance of flavors. Note: Chili-flavored beers that emphasize heat rather than chili flavor should be entered as a ""spiced"" beer.  A statement by the brewer explaining what herbs or spices are used is essential in order for fair assessment in competitions. Specifying a style upon which the beer is based may help evaluation. If this beer is a classic style with an herb or spice, the brewer should specify the classic style. If no Chocolate or Coffee category exists in a competition, then chocolate and coffee beers should be entered in this category.",5,70,2.5,12,5,50,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:45,,,,,,,,,,,,
TMIhzX,El Sully,El Sully,4.8,109,N,verified,Verified,2016-04-05 21:49:59,2018-03-27 17:49:01,109,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,American-Style Cream Ale or Lager,Cream Ale,"Mild, pale, light-bodied ale, made using a warm fermentation (top or bottom) and cold lagering. Hop bitterness and flavor range from very low to low. Hop aroma is often absent. Sometimes referred to as cream ales, these beers are crisp and refreshing. Pale malt character predominates. Caramelized malt character should be absent. A fruity or estery aroma may be perceived. Diacetyl and chill haze should not be perceived. Sulfur character and/or sweet corn-like dimethylsulfide (DMS) should be extremely low or absent from this style of beer.",10,22,4.2,5.6,2,5,1.044,1.004,1.01,2012-03-21 20:06:46,2015-04-07 15:42:30,https://brewerydb-images.s3.amazonaws.com/beer/TMIhzX/upload_3eLzHF-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/TMIhzX/upload_3eLzHF-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/TMIhzX/upload_3eLzHF-large.png,https://brewerydb-images.s3.amazonaws.com/beer/TMIhzX/upload_3eLzHF-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/TMIhzX/upload_3eLzHF-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/TMIhzX/upload_3eLzHF-contentAwareLarge.png,,19,1.0,1.0,Year Round,Available year round as a staple beer.
6WoGvV,Fireside Chat,Fireside Chat,7.9,124,N,verified,Verified,2012-01-03 02:43:13,2016-12-15 13:37:46,124,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Herb and Spice Beer,Spice Beer,"Herb beers use herbs or spices (derived from roots, seeds, fruits, vegetable, flowers, etc.) other than or in addition to hops to create a distinct (ranging from subtle to intense) character, though individual characters of herbs and/or spices used may not always be identifiable. Under hopping often, but not always, allows the spice or herb to contribute to the flavor profile. Positive evaluations are significantly based on perceived balance of flavors. Note: Chili-flavored beers that emphasize heat rather than chili flavor should be entered as a ""spiced"" beer.  A statement by the brewer explaining what herbs or spices are used is essential in order for fair assessment in competitions. Specifying a style upon which the beer is based may help evaluation. If this beer is a classic style with an herb or spice, the brewer should specify the classic style. If no Chocolate or Coffee category exists in a competition, then chocolate and coffee beers should be entered in this category.",5,70,2.5,12,5,50,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:45,https://brewerydb-images.s3.amazonaws.com/beer/6WoGvV/upload_tZnCIQ-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/6WoGvV/upload_tZnCIQ-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/6WoGvV/upload_tZnCIQ-large.png,https://brewerydb-images.s3.amazonaws.com/beer/6WoGvV/upload_tZnCIQ-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/6WoGvV/upload_tZnCIQ-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/6WoGvV/upload_tZnCIQ-contentAwareLarge.png,,45,8.0,8.0,Winter,Available during the winter months.
drKcza,Framboise Forte d'Or,Framboise Forte d'Or,10.3,119,N,verified,Verified,2014-12-31 18:28:01,2015-01-15 19:04:29,119,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Fruit Beer,Fruit Beer,"Fruit beers are any beers using fruit or fruit extracts as an adjunct in either, the mash, kettle, primary or secondary fermentation providing obvious (ranging from subtle to intense), yet harmonious, fruit qualities. Fruit qualities should not be overpowered by hop character. If a fruit (such as juniper berry) has an herbal or spice quality, it is more appropriate to consider it in the herb and spice beers category. Acidic bacterial (not wild yeast) fermentation characters may be evident (but not necessary) they would contribute to acidity and enhance fruity balance. Clear or hazy beer is acceptable in appearance. A statement by the brewer explaining what fruits are used is essential in order for fair assessment in competitions. If this beer is a classic style with fruit, the brewer should also specify the classic style.",5,70,2.5,12,5,50,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:21,,,,,,,,26,,,,
FLKgIy,General Pippo's Porter,General Pippo's Porter,5.5,18,N,verified,Verified,2012-01-03 02:43:15,2015-04-10 18:23:20,18,1,1,British Origin Ales,2012-03-21 20:06:45,Brown Porter,Brown Porter,"Brown porters are mid to dark brown (may have red tint) in color. No roast barley or strong burnt/black malt character should be perceived. Low to medium malt sweetness, caramel and chocolate is acceptable along with medium hop bitterness. This is a lightto medium-bodied beer. Fruity esters are acceptable. Hop flavor and aroma may vary from being negligible to medium in character.",20,30,4.5,6,20,35,1.04,1.006,1.014,2012-03-21 20:06:45,2015-04-07 15:21:43,,,,,,,,,,,,
