id,name,nameDisplay,abv,availableId,styleId,isRetired,status,statusDisplay,createDate,updateDate,labels.icon,labels.medium,labels.large,labels.contentAwareIcon,labels.contentAwareMedium,labels.contentAwareLarge,available.id,available.name,available.description,style.id,style.categoryId,style.category.id,style.category.name,style.category.createDate,style.name,style.shortName,style.description,style.ibuMin,style.ibuMax,style.abvMin,style.abvMax,style.srmMin,style.srmMax,style.ogMin,style.fgMin,style.fgMax,style.createDate,style.updateDate,style.ogMax,ibu,style.category.description,style.category.updateDate
TLrUc3,Hamm's,Hamm's,4.7,,93,N,verified,Verified,2014-05-29 13:23:53,2019-07-10 18:55:27,https://brewerydb-images.s3.amazonaws.com/beer/TLrUc3/upload_oSU4NY-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/TLrUc3/upload_oSU4NY-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/TLrUc3/upload_oSU4NY-large.png,https://brewerydb-images.s3.amazonaws.com/beer/TLrUc3/upload_oSU4NY-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/TLrUc3/upload_oSU4NY-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/TLrUc3/upload_oSU4NY-contentAwareLarge.png,,,,93,8,8,North American Lager,2012-03-21 20:06:46,American-Style Lager,American Lager,"Light in body and very light to straw in color, American lagers are very clean and crisp and aggressively carbonated. Flavor components should b e subtle and complex, with no one ingredient dominating the others. Malt sweetness is light to mild. Corn, rice, or other grain or sugar adjuncts are often used. Hop bitterness, flavor and aroma are negligible to very light. Light fruity esters are acceptable. Chill haze and diacetyl should be absent.",5,13,3.8,5,2,4,1.04,1.006,1.01,2012-03-21 20:06:46,2015-04-07 15:39:26,,,,
oJxcE5,Hamm's Special Light,Hamm's Special Light,3.8,,93,N,verified,Verified,2014-06-16 18:38:47,2019-07-10 18:56:46,https://brewerydb-images.s3.amazonaws.com/beer/oJxcE5/upload_ffBlky-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/oJxcE5/upload_ffBlky-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/oJxcE5/upload_ffBlky-large.png,https://brewerydb-images.s3.amazonaws.com/beer/oJxcE5/upload_ffBlky-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/oJxcE5/upload_ffBlky-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/oJxcE5/upload_ffBlky-contentAwareLarge.png,,,,93,8,8,North American Lager,2012-03-21 20:06:46,American-Style Lager,American Lager,"Light in body and very light to straw in color, American lagers are very clean and crisp and aggressively carbonated. Flavor components should b e subtle and complex, with no one ingredient dominating the others. Malt sweetness is light to mild. Corn, rice, or other grain or sugar adjuncts are often used. Hop bitterness, flavor and aroma are negligible to very light. Light fruity esters are acceptable. Chill haze and diacetyl should be absent.",5,13,3.8,5,2,4,1.04,1.006,1.01,2012-03-21 20:06:46,2015-04-07 15:39:26,,,,
mlcTPZ,Icehouse,Icehouse,5.5,1.0,94,N,verified,Verified,2012-01-03 02:43:27,2016-06-01 10:04:18,https://brewerydb-images.s3.amazonaws.com/beer/mlcTPZ/upload_x90gXU-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/mlcTPZ/upload_x90gXU-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/mlcTPZ/upload_x90gXU-large.png,https://brewerydb-images.s3.amazonaws.com/beer/mlcTPZ/upload_x90gXU-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/mlcTPZ/upload_x90gXU-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/mlcTPZ/upload_x90gXU-contentAwareLarge.png,1.0,Year Round,Available year round as a staple beer.,94,8,8,North American Lager,2012-03-21 20:06:46,American-Style Light (Low Calorie) Lager,American Light Lager,"These beers are extremely light colored, light in body, and high in carbonation. Calorie level should not exceed 125 per 12 ounce serving. Corn, rice, or other grain or sugar adjuncts are often used. Flavor is mild and hop bitterness and aroma is negligible to very low. Light fruity esters are acceptable. Chill haze and diacetyl should be absent.",5,10,3.5,4.4,2,4,1.024,1.002,1.008,2012-03-21 20:06:46,2015-04-07 15:39:35,,,,
AgPnGn,Icehouse Edge,Icehouse Edge,8,,100,N,verified,Verified,2014-06-16 20:17:07,2015-06-10 19:07:09,,,,,,,,,,100,8,8,North American Lager,2012-03-21 20:06:46,American-Style Malt Liquor,Malt Liquor,"High in starting gravity and alcoholic strength, this style is somewhat diverse. Some American malt liquors are just slightly stronger than American lagers, while others approach bock strength. Some residual sweetness is perceived. Hop rates are very low, contributing little bitterness and virtually no hop aroma or flavor. Perception of sweet-fruity esters and complex alcohols (though not solvent-like) are acceptable at low levels. Chill haze and diacetyl should not be perceived.",12,23,6.25,7.5,2,5,1.05,1.004,1.01,2012-03-21 20:06:46,2015-04-07 15:41:16,,,,
mmn0lQ,Impulse,Impulse,8.5,,65,N,verified,Verified,2013-02-11 16:29:29,2015-12-16 23:49:32,https://brewerydb-images.s3.amazonaws.com/beer/mmn0lQ/upload_67H71t-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/mmn0lQ/upload_67H71t-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/mmn0lQ/upload_67H71t-large.png,https://brewerydb-images.s3.amazonaws.com/beer/mmn0lQ/upload_67H71t-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/mmn0lQ/upload_67H71t-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/mmn0lQ/upload_67H71t-contentAwareLarge.png,,,,65,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style White (or Wit) / Belgian-Style Wheat,Witbier,Belgian white ales are very pale in color and are brewed using unmalted wheat and malted barley and are spiced with coriander and orange peel. Coriander and light orange peel aroma should be perceived as such or as an unidentified spiciness. Phenolic spiciness and yeast flavors may be evident at mild levels. These beers are traditionally bottle conditioned and served cloudy. An unfiltered starch and yeast haze should be part of the appearance. The low to medium body should have some degree of creaminess from wheat starch. The style is further characterized by the use of noble-type hops to achieve low hop bitterness and little to no apparent hop flavor. This beer has no diacetyl and a low to medium fruity-ester level. Mild acidity is appropriate.,10,17,4.8,5.2,2,4,1.044,1.006,1.01,2012-03-21 20:06:46,2015-04-07 15:32:30,,3.5,,
5faIlU,Keystone Ice,Keystone Ice,5.9,1.0,93,N,verified,Verified,2014-05-29 13:35:44,2017-08-30 17:23:14,https://brewerydb-images.s3.amazonaws.com/beer/5faIlU/upload_jNFjKL-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/5faIlU/upload_jNFjKL-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/5faIlU/upload_jNFjKL-large.png,https://brewerydb-images.s3.amazonaws.com/beer/5faIlU/upload_jNFjKL-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/5faIlU/upload_jNFjKL-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/5faIlU/upload_jNFjKL-contentAwareLarge.png,1.0,Year Round,Available year round as a staple beer.,93,8,8,North American Lager,2012-03-21 20:06:46,American-Style Lager,American Lager,"Light in body and very light to straw in color, American lagers are very clean and crisp and aggressively carbonated. Flavor components should b e subtle and complex, with no one ingredient dominating the others. Malt sweetness is light to mild. Corn, rice, or other grain or sugar adjuncts are often used. Hop bitterness, flavor and aroma are negligible to very light. Light fruity esters are acceptable. Chill haze and diacetyl should be absent.",5,13,3.8,5,2,4,1.04,1.006,1.01,2012-03-21 20:06:46,2015-04-07 15:39:26,,,,
PdSE1h,Keystone Light,Keystone Light,4.2,1.0,94,N,verified,Verified,2012-01-03 02:43:33,2017-08-01 16:15:39,https://brewerydb-images.s3.amazonaws.com/beer/PdSE1h/upload_5xrrM9-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/PdSE1h/upload_5xrrM9-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/PdSE1h/upload_5xrrM9-large.png,https://brewerydb-images.s3.amazonaws.com/beer/PdSE1h/upload_5xrrM9-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/PdSE1h/upload_5xrrM9-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/PdSE1h/upload_5xrrM9-contentAwareLarge.png,1.0,Year Round,Available year round as a staple beer.,94,8,8,North American Lager,2012-03-21 20:06:46,American-Style Light (Low Calorie) Lager,American Light Lager,"These beers are extremely light colored, light in body, and high in carbonation. Calorie level should not exceed 125 per 12 ounce serving. Corn, rice, or other grain or sugar adjuncts are often used. Flavor is mild and hop bitterness and aroma is negligible to very low. Light fruity esters are acceptable. Chill haze and diacetyl should be absent.",5,10,3.5,4.4,2,4,1.024,1.002,1.008,2012-03-21 20:06:46,2015-04-07 15:39:35,,,,
hzJ6uv,Keystone Premium,Keystone Premium,,,97,N,verified,Verified,2014-05-29 13:36:18,2015-04-01 20:33:24,,,,,,,,,,97,8,8,North American Lager,2012-03-21 20:06:46,American-Style Premium Lager,American Premium Lager,"This style has low malt (and adjunct) sweetness, is medium bodied, and should contain no or a low percentage (less than 25%) of adjuncts. Color may be light straw to golden. Alcohol content and bitterness may also be greater. Hop aroma and flavor is low or negligible. Light fruity esters are acceptable. Chill haze and diacetyl should be absent. Note: Some beers marketed as ""premium"" (based on price) may not fit this definition.",6,15,4.3,5,2,6,1.044,1.01,1.014,2012-03-21 20:06:46,2015-04-07 15:40:04,,,,
FXGCOG,Killian's Irish Red,Killian's Irish Red,5.4,1.0,22,N,verified,Verified,2012-01-03 02:43:33,2019-07-10 18:52:37,https://brewerydb-images.s3.amazonaws.com/beer/FXGCOG/upload_mVF4s0-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/FXGCOG/upload_mVF4s0-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/FXGCOG/upload_mVF4s0-large.png,https://brewerydb-images.s3.amazonaws.com/beer/FXGCOG/upload_mVF4s0-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/FXGCOG/upload_mVF4s0-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/FXGCOG/upload_mVF4s0-contentAwareLarge.png,1.0,Year Round,Available year round as a staple beer.,22,2,2,Irish Origin Ales,2012-03-21 20:06:45,Irish-Style Red Ale,Irish Red,Irish-style red ales range from light red-amber-copper to light brown in color. These ales have a medium hop bitterness and flavor. They often don't have hop aroma. Irish-style red ales have low to medium candy-like caramel malt sweetness and may have a balanced subtle degree of roast barley or roast malt character and complexity.  Irish-style Red Ales have a medium body. The style may have low levels of fruity-ester flavor and aroma. Diacetyl should be absent or at very low levels. Chill haze is allowable at cold temperatures. Slight yeast haze is acceptable for bottle-conditioned products.,20,28,4,4.5,11,18,1.04,1.01,1.014,2012-03-21 20:06:45,2015-04-07 15:23:38,,,,
1daDj6,Killian's Irish Stout,Killian's Irish Stout,4.8,,23,N,verified,Verified,2014-06-16 20:23:21,2014-06-16 21:41:25,,,,,,,,,,23,2,2,Irish Origin Ales,2012-03-21 20:06:45,Classic Irish-Style Dry Stout,Dry Irish Stout,"Dry stouts have an initial malt and light caramel flavor profile with a distinctive dry-roasted bitterness in the finish. Dry stouts achieve a dry-roasted character through the use of roasted barley. The emphasis of coffee-like roasted barley and a moderate degree of roasted malt aromas define much of the character. Some slight acidity may be perceived but is not necessary. European hop aroma and flavor should be low or not perceived. Dry stouts have medium-light to medium body. Fruity esters are minimal and overshadowed by malt, high hop bitterness, and roasted barley character. Diacetyl (butterscotch) should be very low or not perceived. Head retention and rich character should be part of its visual character.",30,40,3.8,5,40,40,1.038,1.008,1.012,2012-03-21 20:06:45,2015-04-07 15:23:51,,,,
CooJFS,Magnum,Magnum,5.6,,100,N,verified,Verified,2014-06-16 20:59:53,2019-07-11 18:43:25,https://brewerydb-images.s3.amazonaws.com/beer/CooJFS/upload_oaF8GY-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/CooJFS/upload_oaF8GY-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/CooJFS/upload_oaF8GY-large.png,https://brewerydb-images.s3.amazonaws.com/beer/CooJFS/upload_oaF8GY-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/CooJFS/upload_oaF8GY-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/CooJFS/upload_oaF8GY-contentAwareLarge.png,,,,100,8,8,North American Lager,2012-03-21 20:06:46,American-Style Malt Liquor,Malt Liquor,"High in starting gravity and alcoholic strength, this style is somewhat diverse. Some American malt liquors are just slightly stronger than American lagers, while others approach bock strength. Some residual sweetness is perceived. Hop rates are very low, contributing little bitterness and virtually no hop aroma or flavor. Perception of sweet-fruity esters and complex alcohols (though not solvent-like) are acceptable at low levels. Chill haze and diacetyl should not be perceived.",12,23,6.25,7.5,2,5,1.05,1.004,1.01,2012-03-21 20:06:46,2015-04-07 15:41:16,,,,
P5LHZ0,Milwaukee's Best,Milwaukee's Best,4.8,1.0,94,N,verified,Verified,2012-01-03 02:43:42,2019-07-10 19:22:36,https://brewerydb-images.s3.amazonaws.com/beer/P5LHZ0/upload_AUjAAI-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/P5LHZ0/upload_AUjAAI-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/P5LHZ0/upload_AUjAAI-large.png,https://brewerydb-images.s3.amazonaws.com/beer/P5LHZ0/upload_AUjAAI-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/P5LHZ0/upload_AUjAAI-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/P5LHZ0/upload_AUjAAI-contentAwareLarge.png,1.0,Year Round,Available year round as a staple beer.,94,8,8,North American Lager,2012-03-21 20:06:46,American-Style Light (Low Calorie) Lager,American Light Lager,"These beers are extremely light colored, light in body, and high in carbonation. Calorie level should not exceed 125 per 12 ounce serving. Corn, rice, or other grain or sugar adjuncts are often used. Flavor is mild and hop bitterness and aroma is negligible to very low. Light fruity esters are acceptable. Chill haze and diacetyl should be absent.",5,10,3.5,4.4,2,4,1.024,1.002,1.008,2012-03-21 20:06:46,2015-04-07 15:39:35,,,,
1vFtAI,Milwaukee's Best Ice,Milwaukee's Best Ice,5.9,1.0,93,N,verified,Verified,2012-08-01 12:05:51,2019-07-10 19:25:42,https://brewerydb-images.s3.amazonaws.com/beer/1vFtAI/upload_Ts54rw-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/1vFtAI/upload_Ts54rw-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/1vFtAI/upload_Ts54rw-large.png,https://brewerydb-images.s3.amazonaws.com/beer/1vFtAI/upload_Ts54rw-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/1vFtAI/upload_Ts54rw-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/1vFtAI/upload_Ts54rw-contentAwareLarge.png,1.0,Year Round,Available year round as a staple beer.,93,8,8,North American Lager,2012-03-21 20:06:46,American-Style Lager,American Lager,"Light in body and very light to straw in color, American lagers are very clean and crisp and aggressively carbonated. Flavor components should b e subtle and complex, with no one ingredient dominating the others. Malt sweetness is light to mild. Corn, rice, or other grain or sugar adjuncts are often used. Hop bitterness, flavor and aroma are negligible to very light. Light fruity esters are acceptable. Chill haze and diacetyl should be absent.",5,13,3.8,5,2,4,1.04,1.006,1.01,2012-03-21 20:06:46,2015-04-07 15:39:26,,,,
