id,name,nameDisplay,abv,isRetired,createDate,updateDate,style.category.name,style.category.createDate,style.name,style.shortName,style.description,style.ibuMin,style.ibuMax,style.abvMin,style.abvMax,style.srmMin,style.srmMax,style.ogMin,style.fgMin,style.fgMax,style.createDate,style.updateDate,style.ogMax,ibu,available.name,available.description,Brewery,year,style.category.description,style.category.updateDate,Average ABV,Average IBU
9kidXn,Bitter American,Bitter American,4.4,N,1/3/12 2:42,12/16/15 3:00,British Origin Ales,3/21/12 20:06,Special Bitter or Best Bitter,Special Bitter,"Special bitter is more robust than ordinary bitter. It has medium body and medium residual malt sweetness. It is deep gold to copper colored. Hop bitterness should be medium and absent of harshness. Hop flavor and aroma character may be evident at the brewer's discretion. Mild carbonation traditionally characterizes draft-cask versions, but in bottled versions, a slight increase in carbon dioxide content is acceptable. Fruity-ester character is acceptable in aroma and flavor. Diacetyl (butterscotch character) is acceptable and characteristic when at very low levels. The absence of diacetyl is also acceptable. Chill haze is allowable at cold temperatures. (English and American hop character may be specified in subcategories.)",28,40,4.1,4.8,6,14,1.038,1.006,1.012,3/21/12 20:06,4/7/15 15:19,,42,Year Round,Available year round as a staple beer.,21st Amendment,,,,,
cx2G9U,Blah Blah Blah,Blah Blah Blah,7.7,N,11/14/14 15:37,12/17/15 19:10,North American Origin Ales,3/21/12 20:06,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,3/21/12 20:06,4/7/15 15:26,,68,,,21st Amendment,,,,,
rtMecd,Brew Free or Die IPA,Brew Free or Die IPA,7,N,1/3/12 2:42,12/16/15 7:59,North American Origin Ales,3/21/12 20:06,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,3/21/12 20:06,4/7/15 15:26,,70,Year Round,Available year round as a staple beer.,21st Amendment,,,,,
LSmhjv,Brew Free! Or Die Blood Orange IPA,Brew Free! Or Die Blood Orange IPA,7,N,2/2/17 15:35,7/20/18 16:00,North American Origin Ales,3/21/12 20:06,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,3/21/12 20:06,4/7/15 15:26,,70,,,21st Amendment,,,,,
icDuui,Double Trouble IPA,Double Trouble IPA,9.8,N,1/3/12 2:43,12/20/16 13:22,North American Origin Ales,3/21/12 20:06,Imperial or Double India Pale Ale,Imperial IPA,"Imperial or Double India Pale Ales have intense hop bitterness, flavor and aroma. Alcohol content is medium-high to high and notably evident. They range from deep golden to medium copper in color. The style may use any variety of hops. Though the hop character is intense it's balanced with complex alcohol flavors, moderate to high fruity esters and medium to high malt character. Hop character should be fresh and lively and should not be harsh in quality. The use of large amounts of hops may cause a degree of appropriate hop haze. Imperial or Double India Pale Ales have medium-high to full body. Diacetyl should not be perceived. The intention of this style of beer is to exhibit the fresh and bright character of hops. Oxidative character and aged character should not be present.",65,100,7.5,10.5,5,13,1.075,1.012,1.02,3/21/12 20:06,4/7/15 15:26,,,,,21st Amendment,,,,,
5AJVRp,Down To Earth,Down To Earth,4.4,N,4/18/15 23:42,10/8/17 21:53,North American Origin Ales,3/21/12 20:06,Session India Pale Ale,Session IPA,"Session India Pale Ales are gold to copper. Chill haze is allowable at cold temperatures and hop haze is allowable at any temperature. Fruity-ester aroma is light to moderate. Hop aroma is medium to high with qualities from a wide variety of hops from all over the world. Low to medium maltiness is present. Hop flavor is strong, characterized by flavors from a wide variety of hops. Hop bitterness is medium to high. Fruity-ester flavors are low to moderate. Diacetyl is absent or at very low levels. Body is low to medium.",,,,,,,,,,4/7/15 17:07,,,42,Year Round,Available year round as a staple beer.,21st Amendment,,,,,
LUj8RN,Dub Step,Dub Step,10,N,2/18/15 18:24,2/27/15 22:17,North American Origin Ales,3/21/12 20:06,Imperial or Double India Pale Ale,Imperial IPA,"Imperial or Double India Pale Ales have intense hop bitterness, flavor and aroma. Alcohol content is medium-high to high and notably evident. They range from deep golden to medium copper in color. The style may use any variety of hops. Though the hop character is intense it's balanced with complex alcohol flavors, moderate to high fruity esters and medium to high malt character. Hop character should be fresh and lively and should not be harsh in quality. The use of large amounts of hops may cause a degree of appropriate hop haze. Imperial or Double India Pale Ales have medium-high to full body. Diacetyl should not be perceived. The intention of this style of beer is to exhibit the fresh and bright character of hops. Oxidative character and aged character should not be present.",65,100,7.5,10.5,5,13,1.075,1.012,1.02,3/21/12 20:06,4/7/15 15:26,,,,,21st Amendment,,,,,
HAYJWT,El Camino (un)Real,El Camino (un)Real,9.5,N,9/6/17 14:52,9/6/17 14:52,Hybrid/mixed Beer,3/21/12 20:06,Herb and Spice Beer,Spice Beer,"Herb beers use herbs or spices (derived from roots, seeds, fruits, vegetable, flowers, etc.) other than or in addition to hops to create a distinct (ranging from subtle to intense) character, though individual characters of herbs and/or spices used may not always be identifiable. Under hopping often, but not always, allows the spice or herb to contribute to the flavor profile. Positive evaluations are significantly based on perceived balance of flavors. Note: Chili-flavored beers that emphasize heat rather than chili flavor should be entered as a ""spiced"" beer.  A statement by the brewer explaining what herbs or spices are used is essential in order for fair assessment in competitions. Specifying a style upon which the beer is based may help evaluation. If this beer is a classic style with an herb or spice, the brewer should specify the classic style. If no Chocolate or Coffee category exists in a competition, then chocolate and coffee beers should be entered in this category.",5,70,2.5,12,5,50,1.03,1.006,1.03,3/21/12 20:06,4/7/15 15:44,,,,,21st Amendment,,,,,
TMIhzX,El Sully,El Sully,4.8,N,4/5/16 21:49,3/27/18 17:49,Hybrid/mixed Beer,3/21/12 20:06,American-Style Cream Ale or Lager,Cream Ale,"Mild, pale, light-bodied ale, made using a warm fermentation (top or bottom) and cold lagering. Hop bitterness and flavor range from very low to low. Hop aroma is often absent. Sometimes referred to as cream ales, these beers are crisp and refreshing. Pale malt character predominates. Caramelized malt character should be absent. A fruity or estery aroma may be perceived. Diacetyl and chill haze should not be perceived. Sulfur character and/or sweet corn-like dimethylsulfide (DMS) should be extremely low or absent from this style of beer.",10,22,4.2,5.6,2,5,1.044,1.004,1.01,3/21/12 20:06,4/7/15 15:42,,19,Year Round,Available year round as a staple beer.,21st Amendment,,,,,
6WoGvV,Fireside Chat,Fireside Chat,7.9,N,1/3/12 2:43,12/15/16 13:37,Hybrid/mixed Beer,3/21/12 20:06,Herb and Spice Beer,Spice Beer,"Herb beers use herbs or spices (derived from roots, seeds, fruits, vegetable, flowers, etc.) other than or in addition to hops to create a distinct (ranging from subtle to intense) character, though individual characters of herbs and/or spices used may not always be identifiable. Under hopping often, but not always, allows the spice or herb to contribute to the flavor profile. Positive evaluations are significantly based on perceived balance of flavors. Note: Chili-flavored beers that emphasize heat rather than chili flavor should be entered as a ""spiced"" beer.  A statement by the brewer explaining what herbs or spices are used is essential in order for fair assessment in competitions. Specifying a style upon which the beer is based may help evaluation. If this beer is a classic style with an herb or spice, the brewer should specify the classic style. If no Chocolate or Coffee category exists in a competition, then chocolate and coffee beers should be entered in this category.",5,70,2.5,12,5,50,1.03,1.006,1.03,3/21/12 20:06,4/7/15 15:44,,45,Winter,Available during the winter months.,21st Amendment,,,,,
drKcza,Framboise Forte d'Or,Framboise Forte d'Or,10.3,N,12/31/14 18:28,1/15/15 19:04,Hybrid/mixed Beer,3/21/12 20:06,Fruit Beer,Fruit Beer,"Fruit beers are any beers using fruit or fruit extracts as an adjunct in either, the mash, kettle, primary or secondary fermentation providing obvious (ranging from subtle to intense), yet harmonious, fruit qualities. Fruit qualities should not be overpowered by hop character. If a fruit (such as juniper berry) has an herbal or spice quality, it is more appropriate to consider it in the herb and spice beers category. Acidic bacterial (not wild yeast) fermentation characters may be evident (but not necessary) they would contribute to acidity and enhance fruity balance. Clear or hazy beer is acceptable in appearance. A statement by the brewer explaining what fruits are used is essential in order for fair assessment in competitions. If this beer is a classic style with fruit, the brewer should also specify the classic style.",5,70,2.5,12,5,50,1.03,1.006,1.03,3/21/12 20:06,4/7/15 15:44,,26,,,21st Amendment,,,,,
FLKgIy,General Pippo's Porter,General Pippo's Porter,5.5,N,1/3/12 2:43,4/10/15 18:23,British Origin Ales,3/21/12 20:06,Brown Porter,Brown Porter,"Brown porters are mid to dark brown (may have red tint) in color. No roast barley or strong burnt/black malt character should be perceived. Low to medium malt sweetness, caramel and chocolate is acceptable along with medium hop bitterness. This is a lightto medium-bodied beer. Fruity esters are acceptable. Hop flavor and aroma may vary from being negligible to medium in character.",20,30,4.5,6,20,35,1.04,1.006,1.014,3/21/12 20:06,4/7/15 15:21,,,,,21st Amendment,,,,,
7c20yF,Gigantes IPA,Gigantes IPA,6.8,N,4/20/15 15:44,4/20/15 15:44,North American Origin Ales,3/21/12 20:06,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,3/21/12 20:06,4/7/15 15:26,,,,,21st Amendment,,,,,
LAFtEN,Golden Doom,Golden Doom,7.8,N,1/3/12 2:43,12/16/15 7:42,Belgian And French Origin Ales,3/21/12 20:06,Belgian-Style Pale Strong Ale,Belgian Pale Strong,"Belgian pale strong ales are pale to golden in color with relatively light body for a beer of its alcoholic strength. Often brewed with light colored Belgian ""candy"" sugar, these beers are well attenuated. The perception of hop bitterness is medium-low to medium -high, with hop flavor and aroma also in this range. These beers are highly attenuated and have a perceptively deceiving high alcoholic character-being light to medium bodied rather than full bodied. The intensity of malt character should be low to medium, often surviving along with a complex fruitiness. Very little or no diacetyl is perceived. Herbs and spices are sometimes used to delicately flavor these strong ales. Low levels of phenolic spiciness from yeast byproducts may also be perceived. Chill haze is allowable at cold temperatures.",20,50,7,11,4,10,1.064,1.012,1.024,3/21/12 20:06,4/7/15 15:32,,45,Limited,Limited availability.,21st Amendment,,,,,
t3oBtL,Golden Sunshine,Golden Sunshine,4,N,11/13/16 15:17,11/13/16 15:19,German Origin Ales,3/21/12 20:06,Berliner-Style Weisse (Wheat),Berlinerweisse,"This is very pale in color and the lightest of all the German wheat beers. The unique combination of yeast and lactic acid bacteria fermentation yields a beer that is acidic, highly attenuated, and very light bodied. The carbonation of a Berliner Weisse is high, and hop rates are very low. Clarity may be hazy or cloudy from yeast or chill haze. Hop character should not be perceived. Fruity esters will be evident. No diacetyl should be perceived.",3,6,2.8,3.4,2,4,1.028,1.004,1.006,3/21/12 20:06,4/7/15 15:29,,,,,21st Amendment,,,,,
7zNyhV,Good Things,Good Things,8,N,9/15/16 0:15,9/15/16 13:43,Belgian And French Origin Ales,3/21/12 20:06,Belgian-Style Tripel,Belgian Tripel,"Tripels are often characterized by a complex, sometimes mild spicy character. Clove-like phenolic flavor and aroma may be evident at extremely low levels. Yeast-generated  fruity esters, including banana, are also common, but not necessary. These pale/light-colored ales may finish sweet, though any sweet finish should be light. The beer is characteristically medium and clean in body with an equalizing hop/malt balance and a perception of medium to medium high hop bitterness. Traditional Belgian Tripels are often well attenuated. Brewing sugar may be used to lighten the perception of body. Its sweetness will come from very pale malts. There should not be character from any roasted or dark malts. Low hop flavor is acceptable. Alcohol strength and flavor should be perceived as evident. Head retention is dense and mousse-like. Chill haze is acceptable at low serving temperatures. Traditional Tripels are bottle conditioned, may exhibit slight yeast haze but the yeast should not be intentionally roused. Oxidative character if evident in aged Tripels should be mild and pleasant.",20,45,7,10,4,9,1.07,1.01,1.018,3/21/12 20:06,4/7/15 15:31,,,,,21st Amendment,,,,,
sSe8RB,He Said Baltic-Style Porter,He Said Baltic-Style Porter,8.2,N,9/2/13 15:04,12/15/16 21:04,Other Lager,3/21/12 20:06,Baltic-Style Porter,Baltic Porter,"A true smooth cold-fermented and cold lagered beer, brewed with lager yeast. Black to very deep ruby/garnet in color. Overall, Baltic Porters have a very smooth lagered character with distinctive caramelized sugars, licorice and chocolate-like character of roasted malts and dark sugars. Roasted dark malts should not contribute bitterness, or astringent roast character. A low degree of smokiness from malt may be evident. Debitterized roast malts are best used for this style. Because of its alcoholic strength, aroma may include gentle (low) lager fruitiness (berries, grapes, plums, not banana; ale-like fruitiness from warm temperature fermentation is not appropriate), complex alcohols, cocoa-like, roast malt (and sometimes coffee-like roast barley, yet not bitter). Hop aroma is very low, though a hint of floral or sweet hop aroma can complement aromatics and flavor without dominance. Baltic Porters are not hop bitter dominated and expressed as low to medium-low. Baltic porters range from having medium to full body complemented with a medium-low to medium level of malty sweetness. No butterscotch-like diacetyl or sweet corn-like dimethylsulfide (DMS) should be apparent in aroma or flavor.",35,40,7.5,9,40,40,1.072,1.016,1.022,3/21/12 20:06,4/7/15 15:41,,,Seasonal,"Available at the same time of year, every year.",21st Amendment,,,,,
ORwgoV,He Said Belgian-Style Tripel,He Said Belgian-Style Tripel,8.2,N,8/27/14 17:24,12/15/16 21:04,Belgian And French Origin Ales,3/21/12 20:06,Belgian-Style Tripel,Belgian Tripel,"Tripels are often characterized by a complex, sometimes mild spicy character. Clove-like phenolic flavor and aroma may be evident at extremely low levels. Yeast-generated  fruity esters, including banana, are also common, but not necessary. These pale/light-colored ales may finish sweet, though any sweet finish should be light. The beer is characteristically medium and clean in body with an equalizing hop/malt balance and a perception of medium to medium high hop bitterness. Traditional Belgian Tripels are often well attenuated. Brewing sugar may be used to lighten the perception of body. Its sweetness will come from very pale malts. There should not be character from any roasted or dark malts. Low hop flavor is acceptable. Alcohol strength and flavor should be perceived as evident. Head retention is dense and mousse-like. Chill haze is acceptable at low serving temperatures. Traditional Tripels are bottle conditioned, may exhibit slight yeast haze but the yeast should not be intentionally roused. Oxidative character if evident in aged Tripels should be mild and pleasant.",20,45,7,10,4,9,1.07,1.01,1.018,3/21/12 20:06,4/7/15 15:31,,,,,21st Amendment,,,,,
VNqOKH,Hell or High Watermelon Wheat,Hell or High Watermelon Wheat,4.9,N,1/3/12 2:43,1/10/17 22:07,Hybrid/mixed Beer,3/21/12 20:06,Fruit Wheat Ale or Lager with or without Yeast,Fruit Wheat Ale,"This beer can be made using either ale or lager yeast. It can be brewed with 30 to 75 percent malted wheat. Fruit or fruit extracts contribute flavor and/or aroma. Perceived fruit qualities should be authentic and replicate true fruit complexity as much as possible. Color should reflect a degree of fruit's color. Hop rates may be low to medium. Hop characters may be light to moderate in bitterness, flavor and aroma. Fruity-estery aroma and flavor from yeast can be typical but at low levels; however, phenolic, clovelike characteristics should not be perceived. Body should be light to medium in character. Diacetyl should not be perceived. When this style is served with yeast the character should portray a full yeasty mouthfeel and appear hazy to very cloudy. Chill haze is also acceptable. Yeast flavor and aroma should be low to medium but not overpowering the balance and character of malt and hops. Brewer may indicate on the bottle whether the yeast should be intentionally roused or if they prefer that the entry be poured as quietly as possible.",10,35,3.8,5,2,10,1.036,1.004,1.016,3/21/12 20:06,4/7/15 15:43,,17,Seasonal,"Available at the same time of year, every year.",21st Amendment,,,,,
VIJCoo,Hooligan,Hooligan,5.2,N,4/20/15 15:43,4/20/15 15:43,International Ale Styles,3/21/12 20:06,International-Style Pale Ale,International Pale,"International-style pale ales range from deep golden to copper in color. The style is characterized by wide range of hop characters unlike fruity, floral and citrus-like American-variety hop character and unlike earthy, herbal English-variety hop character. Moderate to high hop bitterness, flavor, and aroma is evident. International pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruity-ester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.",30,42,4.5,5.5,6,14,1.044,1.008,1.014,3/21/12 20:06,4/7/15 15:35,,,,,21st Amendment,,,,,
yy3cTm,Hop Crisis,Hop Crisis,9.7,N,1/3/12 2:43,8/3/17 20:20,North American Origin Ales,3/21/12 20:06,Imperial or Double India Pale Ale,Imperial IPA,"Imperial or Double India Pale Ales have intense hop bitterness, flavor and aroma. Alcohol content is medium-high to high and notably evident. They range from deep golden to medium copper in color. The style may use any variety of hops. Though the hop character is intense it's balanced with complex alcohol flavors, moderate to high fruity esters and medium to high malt character. Hop character should be fresh and lively and should not be harsh in quality. The use of large amounts of hops may cause a degree of appropriate hop haze. Imperial or Double India Pale Ales have medium-high to full body. Diacetyl should not be perceived. The intention of this style of beer is to exhibit the fresh and bright character of hops. Oxidative character and aged character should not be present.",65,100,7.5,10.5,5,13,1.075,1.012,1.02,3/21/12 20:06,4/7/15 15:26,,94,Seasonal,"Available at the same time of year, every year.",21st Amendment,,,,,
