id,name,nameDisplay,abv,styleId,isRetired,status,statusDisplay,createDate,updateDate,labels.icon,labels.medium,labels.large,labels.contentAwareIcon,labels.contentAwareMedium,labels.contentAwareLarge,style.id,style.categoryId,style.category.id,style.category.name,style.category.createDate,style.name,style.shortName,style.description,style.ibuMin,style.ibuMax,style.abvMin,style.abvMax,style.srmMin,style.srmMax,style.ogMin,style.fgMin,style.fgMax,style.createDate,style.updateDate,ibu,availableId,available.id,available.name,available.description,year,style.ogMax
8M5lCq,30th Anniversary - Jack & Ken's Ale,30th Anniversary - Jack & Ken's Ale,10.2,34,Y,verified,Verified,2014-06-17 20:02:42,2018-11-02 02:13:07,https://brewerydb-images.s3.amazonaws.com/beer/8M5lCq/upload_v5FHDf-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/8M5lCq/upload_v5FHDf-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/8M5lCq/upload_v5FHDf-large.png,https://brewerydb-images.s3.amazonaws.com/beer/8M5lCq/upload_v5FHDf-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/8M5lCq/upload_v5FHDf-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/8M5lCq/upload_v5FHDf-contentAwareLarge.png,34,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Barley Wine Ale,American Barleywine,"American style barley wines range from amber to deep copper-garnet in color and have a full body and high residual malty sweetness. Complexity of alcohols and fruity-ester characters are often high and counterbalanced by assertive bitterness and extraordinary alcohol content. Hop aroma and flavor are at medium to very high levels. American type hops are often used but not necessary for this style. Very low levels of diacetyl may be acceptable. A caramel and/or toffee aroma and flavor are often part of the character. Characters indicating oxidation, such as vinous (sometimes sherry-like) aromas and/or flavors, are not generally acceptable in American-style Barley Wine Ale, however if a low level of age-induced oxidation character harmonizes and enhances the overall experience this can be regarded favorably. Chill haze is allowable at cold temperatures.",60,100,8.4,12,11,22,1.09,1.024,1.028,2012-03-21 20:06:46,2015-04-07 15:27:08,,3.0,3.0,Not Available,Beer is not currently available.,,
ajbd6g,35th Anniversary  - Brewer's Reserve,35th Anniversary  - Brewer's Reserve,8,14,N,verified,Verified,2015-11-10 14:23:57,2015-12-18 05:15:34,https://brewerydb-images.s3.amazonaws.com/beer/ajbd6g/upload_o0dl64-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/ajbd6g/upload_o0dl64-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/ajbd6g/upload_o0dl64-large.png,https://brewerydb-images.s3.amazonaws.com/beer/ajbd6g/upload_o0dl64-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/ajbd6g/upload_o0dl64-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/ajbd6g/upload_o0dl64-contentAwareLarge.png,14,1,1,British Origin Ales,2012-03-21 20:06:45,Strong Ale,Strong Ale,"Light amber to mid-range brown in color, strong ales are medium to full bodied with a malty sweetness and may have low levels of roast malt character. Hop aroma should be minimal and flavor can vary from none to medium in character intensity. Fruity-ester flavors and aromas can contribute to the character of this ale. Bitterness should be minimal but evident and balanced with malt and/or caramel-like sweetness. Alcohol types can be varied and complex. A rich, often sweet and complex estery character may be evident. Very low levels of diacetyl are acceptable. Chill haze is acceptable at low temperatures. (This style may often be split into two categories, strong and very strong.)",30,65,7,11,8,21,1.06,1.014,1.04,2012-03-21 20:06:45,2015-04-07 15:21:05,,,,,,,
N4vZCt,40th Hoppy Anniversary Ale,40th Hoppy Anniversary Ale,6,30,N,verified,Verified,2020-01-02 12:18:41,2020-01-02 12:18:53,https://brewerydb-images.s3.amazonaws.com/beer/N4vZCt/upload_Z6paqq-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/N4vZCt/upload_Z6paqq-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/N4vZCt/upload_Z6paqq-large.png,https://brewerydb-images.s3.amazonaws.com/beer/N4vZCt/upload_Z6paqq-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/N4vZCt/upload_Z6paqq-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/N4vZCt/upload_Z6paqq-contentAwareLarge.png,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,65,4.0,4.0,Seasonal,"Available at the same time of year, every year.",,
hbF6tu,ABLE Best Britter,ABLE Best Britter,4.3,4,N,verified,Verified,2012-01-03 02:42:38,2015-12-16 06:59:51,https://brewerydb-images.s3.amazonaws.com/beer/hbF6tu/upload_KtTfDY-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/hbF6tu/upload_KtTfDY-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/hbF6tu/upload_KtTfDY-large.png,https://brewerydb-images.s3.amazonaws.com/beer/hbF6tu/upload_KtTfDY-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/hbF6tu/upload_KtTfDY-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/hbF6tu/upload_KtTfDY-contentAwareLarge.png,4,1,1,British Origin Ales,2012-03-21 20:06:45,Special Bitter or Best Bitter,Special Bitter,"Special bitter is more robust than ordinary bitter. It has medium body and medium residual malt sweetness. It is deep gold to copper colored. Hop bitterness should be medium and absent of harshness. Hop flavor and aroma character may be evident at the brewer's discretion. Mild carbonation traditionally characterizes draft-cask versions, but in bottled versions, a slight increase in carbon dioxide content is acceptable. Fruity-ester character is acceptable in aroma and flavor. Diacetyl (butterscotch character) is acceptable and characteristic when at very low levels. The absence of diacetyl is also acceptable. Chill haze is allowable at cold temperatures. (English and American hop character may be specified in subcategories.)",28,40,4.1,4.8,6,14,1.038,1.006,1.012,2012-03-21 20:06:45,2015-04-07 15:19:15,,2.0,2.0,Limited,Limited availability.,,
RK9Po6,Ale 20,Ale 20,5.7,25,N,verified,Verified,2013-09-03 14:12:56,2015-12-17 05:33:44,https://brewerydb-images.s3.amazonaws.com/beer/RK9Po6/upload_wGYxyS-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/RK9Po6/upload_wGYxyS-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/RK9Po6/upload_wGYxyS-large.png,https://brewerydb-images.s3.amazonaws.com/beer/RK9Po6/upload_wGYxyS-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/RK9Po6/upload_wGYxyS-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/RK9Po6/upload_wGYxyS-contentAwareLarge.png,25,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Pale Ale,American Pale,"American pale ales range from deep golden to copper in color. The style is characterized by fruity, floral and citrus-like American-variety hop character producing medium to medium-high hop bitterness, flavor, and aroma. Note that the ""traditional"" style of this beer has its origins with certain floral, fruity, citrus-like, piney, resinous, or sulfur-like American hop varietals. One or more of these hop characters is the perceived end, but the perceived hop characters may be a result of the skillful use of hops of other national origins. American pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruity-ester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.",30,42,4.5,5.6,6,14,1.044,1.008,1.014,2012-03-21 20:06:45,2015-04-07 15:25:18,,,,,,,
hYaduh,Alt Route - Beer Camp Across America,Alt Route - Beer Camp Across America (2014),6.6,55,N,verified,Verified,2014-05-08 11:50:47,2018-06-12 19:28:24,https://brewerydb-images.s3.amazonaws.com/beer/hYaduh/upload_MhIUer-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/hYaduh/upload_MhIUer-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/hYaduh/upload_MhIUer-large.png,https://brewerydb-images.s3.amazonaws.com/beer/hYaduh/upload_MhIUer-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/hYaduh/upload_MhIUer-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/hYaduh/upload_MhIUer-contentAwareLarge.png,55,4,4,German Origin Ales,2012-03-21 20:06:46,German-Style Altbier,Altbier,"German-Style Altbiers are copper to dark brown ales, originally from the Düsseldorf area. No chill haze should be perceived. A variety of malts including wheat may be used to produce medium-low to medium malt aroma. Fruityester aroma can be low. No diacetyl aroma should be perceived. Hop aroma is low to medium. A variety of malts including wheat may be used to produce medium-low to medium level malty flavor. Hop flavor is low to medium. Hop bitterness is medium to very high (although the 25 to 35 IBU range is more normal for the majority of Altbiers from Düsseldorf). Fruity-ester flavors can be low. No diacetyl should be perceived. The overall impression is clean, crisp, and flavorful often with a dry finish. Body is medium.",25,52,4.3,5.5,11,19,1.044,1.008,1.014,2012-03-21 20:06:46,2015-04-07 17:08:31,50,2.0,2.0,Limited,Limited availability.,2014.0,
ItEVNY,Anniversary Ale,Anniversary Ale (2009),5.9,30,N,verified,Verified,2014-12-11 22:42:49,2019-03-07 15:48:26,,,,,,,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,,2.0,2.0,Limited,Limited availability.,2009.0,
iEMsk8,Anniversary Ale,Anniversary Ale (2007),5.9,30,N,verified,Verified,2012-01-03 02:42:42,2019-02-21 17:19:33,,,,,,,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,,,,,,2007.0,
fBZZUJ,Anniversary Ale,Anniversary Ale,5.9,30,N,verified,Verified,2018-04-30 00:39:07,2018-05-25 19:36:39,,,,,,,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,,,,,,,
uHEs7N,Audition - Altbier,Audition - Altbier,6.6,55,N,verified,Verified,2014-03-13 12:09:39,2015-12-17 11:05:57,https://brewerydb-images.s3.amazonaws.com/beer/uHEs7N/upload_6Pex0P-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/uHEs7N/upload_6Pex0P-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/uHEs7N/upload_6Pex0P-large.png,https://brewerydb-images.s3.amazonaws.com/beer/uHEs7N/upload_6Pex0P-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/uHEs7N/upload_6Pex0P-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/uHEs7N/upload_6Pex0P-contentAwareLarge.png,55,4,4,German Origin Ales,2012-03-21 20:06:46,German-Style Altbier,Altbier,"German-Style Altbiers are copper to dark brown ales, originally from the Düsseldorf area. No chill haze should be perceived. A variety of malts including wheat may be used to produce medium-low to medium malt aroma. Fruityester aroma can be low. No diacetyl aroma should be perceived. Hop aroma is low to medium. A variety of malts including wheat may be used to produce medium-low to medium level malty flavor. Hop flavor is low to medium. Hop bitterness is medium to very high (although the 25 to 35 IBU range is more normal for the majority of Altbiers from Düsseldorf). Fruity-ester flavors can be low. No diacetyl should be perceived. The overall impression is clean, crisp, and flavorful often with a dry finish. Body is medium.",25,52,4.3,5.5,11,19,1.044,1.008,1.014,2012-03-21 20:06:46,2015-04-07 17:08:31,,,,,,,
