id,name,nameDisplay,abv,styleId,isRetired,status,statusDisplay,createDate,updateDate,style.id,style.categoryId,style.category.id,style.category.name,style.category.createDate,style.name,style.shortName,style.description,style.ibuMin,style.ibuMax,style.abvMin,style.abvMax,style.srmMin,style.srmMax,style.ogMin,style.fgMin,style.fgMax,style.createDate,style.updateDate,labels.icon,labels.medium,labels.large,labels.contentAwareIcon,labels.contentAwareMedium,labels.contentAwareLarge,availableId,available.id,available.name,available.description,ibu,style.category.description,style.category.updateDate,style.ogMax
Dvucvo,Bud Light Blends Lemon,Bud Light Blends Lemon,3.5,119,N,verified,Verified,2018-08-01 15:05:42,2018-08-01 15:06:14,119,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Fruit Beer,Fruit Beer,"Fruit beers are any beers using fruit or fruit extracts as an adjunct in either, the mash, kettle, primary or secondary fermentation providing obvious (ranging from subtle to intense), yet harmonious, fruit qualities. Fruit qualities should not be overpowered by hop character. If a fruit (such as juniper berry) has an herbal or spice quality, it is more appropriate to consider it in the herb and spice beers category. Acidic bacterial (not wild yeast) fermentation characters may be evident (but not necessary) they would contribute to acidity and enhance fruity balance. Clear or hazy beer is acceptable in appearance. A statement by the brewer explaining what fruits are used is essential in order for fair assessment in competitions. If this beer is a classic style with fruit, the brewer should also specify the classic style.",5,70,2.5,12,5,50,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:21,https://brewerydb-images.s3.amazonaws.com/beer/Dvucvo/upload_OjxheQ-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/Dvucvo/upload_OjxheQ-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/Dvucvo/upload_OjxheQ-large.png,https://brewerydb-images.s3.amazonaws.com/beer/Dvucvo/upload_OjxheQ-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/Dvucvo/upload_OjxheQ-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/Dvucvo/upload_OjxheQ-contentAwareLarge.png,,,,,,,,
t9aucT,Bud Light Chelada,Bud Light Chelada,4.2,94,N,verified,Verified,2012-08-27 20:18:16,2015-12-16 18:22:32,94,8,8,North American Lager,2012-03-21 20:06:46,American-Style Light (Low Calorie) Lager,American Light Lager,"These beers are extremely light colored, light in body, and high in carbonation. Calorie level should not exceed 125 per 12 ounce serving. Corn, rice, or other grain or sugar adjuncts are often used. Flavor is mild and hop bitterness and aroma is negligible to very low. Light fruity esters are acceptable. Chill haze and diacetyl should be absent.",5,10,3.5,4.4,2,4,1.024,1.002,1.008,2012-03-21 20:06:46,2015-04-07 15:39:35,https://brewerydb-images.s3.amazonaws.com/beer/t9aucT/upload_GYv6n6-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/t9aucT/upload_GYv6n6-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/t9aucT/upload_GYv6n6-large.png,https://brewerydb-images.s3.amazonaws.com/beer/t9aucT/upload_GYv6n6-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/t9aucT/upload_GYv6n6-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/t9aucT/upload_GYv6n6-contentAwareLarge.png,1.0,1.0,Year Round,Available year round as a staple beer.,,,,
4zruzt,Bud Light Golden Wheat,Bud Light Golden Wheat,4.1,61,N,verified,Verified,2012-01-03 02:42:55,2016-06-27 19:05:28,61,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Blonde Ale,Belgian Blonde,"Belgian-style blond ales are characterized by low yet evident hop bitterness, flavor, and sometimes aroma. Light to medium body and low malt aroma with a sweet, spiced and a low to medium fruity-ester character orchestrated in flavor and aroma. Sugar may be used to lighten perceived body. They are blonde to golden in color. Noble-type hops are commonly used. Low levels of phenolic spiciness from yeast byproducts may be perceived. Diacetyl should not be perceived. Acidic character should not be present. Chill haze is allowable at cold temperatures.",15,30,6,7.8,4,7,1.054,1.008,1.014,2012-03-21 20:06:46,2015-04-07 15:32:01,,,,,,,,,,,,,,
EPhUc7,Bud Light Guav-A-Rita,Bud Light Guav-A-Rita,8,125,N,verified,Verified,2020-04-22 11:42:49,2020-04-22 11:43:48,125,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Specialty Beer,Specialty,"These beers are brewed using unusual fermentable sugars, grains and starches that contribute to alcohol content other than, or in addition to, malted barley. Nuts generally have some degree of fermentables, thus beers brewed with nuts would appropriately be entered in this category. The distinctive characters of these special ingredients should be evident either in the aroma, flavor or overall balance of the beer, but not necessarily in overpowering quantities. For example, maple syrup or potatoes would be considered unusual. Rice, corn, or wheat are not considered unusual. Special ingredients must be listed when competing. A statement by the brewer explaining the special nature of the beer, ingredient(s) and achieved character is essential in order for fair assessment in competitions. If this beer is a classic style with some specialty ingredient(s), the brewer should also specify the classic style. Guidelines for competing: Spiced beers using unusual fermentables should be entered in the experimental category. Fruit beers using unusual fermentables should be entered in the fruit beer category.",,100,2.5,25,1,100,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:53,https://brewerydb-images.s3.amazonaws.com/beer/EPhUc7/upload_JQRNd0-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/EPhUc7/upload_JQRNd0-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/EPhUc7/upload_JQRNd0-large.png,https://brewerydb-images.s3.amazonaws.com/beer/EPhUc7/upload_JQRNd0-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/EPhUc7/upload_JQRNd0-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/EPhUc7/upload_JQRNd0-contentAwareLarge.png,,,,,,,,
A64JVl,Bud Light Lemon Tea,Bud Light Lemon Tea,4.2,94,N,verified,Verified,2019-06-03 18:26:34,2019-06-03 18:26:58,94,8,8,North American Lager,2012-03-21 20:06:46,American-Style Light (Low Calorie) Lager,American Light Lager,"These beers are extremely light colored, light in body, and high in carbonation. Calorie level should not exceed 125 per 12 ounce serving. Corn, rice, or other grain or sugar adjuncts are often used. Flavor is mild and hop bitterness and aroma is negligible to very low. Light fruity esters are acceptable. Chill haze and diacetyl should be absent.",5,10,3.5,4.4,2,4,1.024,1.002,1.008,2012-03-21 20:06:46,2015-04-07 15:39:35,https://brewerydb-images.s3.amazonaws.com/beer/A64JVl/upload_kjHzTs-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/A64JVl/upload_kjHzTs-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/A64JVl/upload_kjHzTs-large.png,https://brewerydb-images.s3.amazonaws.com/beer/A64JVl/upload_kjHzTs-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/A64JVl/upload_kjHzTs-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/A64JVl/upload_kjHzTs-contentAwareLarge.png,,,,,,,,
AF774n,Bud Light Lemonade,Bud Light Lemonade,4.2,119,N,verified,Verified,2020-04-06 13:31:22,2020-04-06 13:31:22,119,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Fruit Beer,Fruit Beer,"Fruit beers are any beers using fruit or fruit extracts as an adjunct in either, the mash, kettle, primary or secondary fermentation providing obvious (ranging from subtle to intense), yet harmonious, fruit qualities. Fruit qualities should not be overpowered by hop character. If a fruit (such as juniper berry) has an herbal or spice quality, it is more appropriate to consider it in the herb and spice beers category. Acidic bacterial (not wild yeast) fermentation characters may be evident (but not necessary) they would contribute to acidity and enhance fruity balance. Clear or hazy beer is acceptable in appearance. A statement by the brewer explaining what fruits are used is essential in order for fair assessment in competitions. If this beer is a classic style with fruit, the brewer should also specify the classic style.",5,70,2.5,12,5,50,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:21,,,,,,,,,,,,,,
MzoCPz,Bud Light Lime,Bud Light Lime,4.2,94,N,verified,Verified,2012-01-03 02:42:55,2016-05-17 14:16:04,94,8,8,North American Lager,2012-03-21 20:06:46,American-Style Light (Low Calorie) Lager,American Light Lager,"These beers are extremely light colored, light in body, and high in carbonation. Calorie level should not exceed 125 per 12 ounce serving. Corn, rice, or other grain or sugar adjuncts are often used. Flavor is mild and hop bitterness and aroma is negligible to very low. Light fruity esters are acceptable. Chill haze and diacetyl should be absent.",5,10,3.5,4.4,2,4,1.024,1.002,1.008,2012-03-21 20:06:46,2015-04-07 15:39:35,https://brewerydb-images.s3.amazonaws.com/beer/MzoCPz/upload_bsK4Bh-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/MzoCPz/upload_bsK4Bh-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/MzoCPz/upload_bsK4Bh-large.png,https://brewerydb-images.s3.amazonaws.com/beer/MzoCPz/upload_bsK4Bh-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/MzoCPz/upload_bsK4Bh-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/MzoCPz/upload_bsK4Bh-contentAwareLarge.png,1.0,1.0,Year Round,Available year round as a staple beer.,,,,
VwOYAS,Bud Light Lime Mang-O-Rita,Bud Light Lime Mang-O-Rita,8,161,N,verified,Verified,2015-01-05 12:59:13,2018-06-04 16:42:57,161,14,14,Malternative Beverages,2014-07-10 14:11:26,Flavored Malt Beverage,Flavored Malt Beverage,"Flavored malt beverages are brewery products that are different from traditional malt beverages like malt liquor, ales, and lagers in several aspects. Flavored malt beverages exhibit little or no traditional beer or malt beverage flavor characteristics. Their flavor is primarily derived from added flavoring rather than from malt and other materials used in fermentation. However,  flavored malt beverages are marketed in traditional beer bottles and cans and distributed to the alcohol beverage market through beer and malt beverage wholesalers. Their alcohol content is similar to other malt beverages – in the range of 4-6% alcohol by volume.",,,4,6,,,,,,2014-07-10 14:15:20,2015-04-07 15:49:43,https://brewerydb-images.s3.amazonaws.com/beer/VwOYAS/upload_EAo5Pg-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/VwOYAS/upload_EAo5Pg-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/VwOYAS/upload_EAo5Pg-large.png,https://brewerydb-images.s3.amazonaws.com/beer/VwOYAS/upload_EAo5Pg-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/VwOYAS/upload_EAo5Pg-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/VwOYAS/upload_EAo5Pg-contentAwareLarge.png,1.0,1.0,Year Round,Available year round as a staple beer.,,"Malternative Beverages, also known as ""ready-to-drink"" beverages, are sweet, sometime carbonated, beverages that are low in alcohol.",2014-07-10 14:20:24,
WQsARu,Bud Light Orange,Bud Light Orange,4.2,94,N,verified,Verified,2018-04-17 15:00:08,2018-08-01 15:04:19,94,8,8,North American Lager,2012-03-21 20:06:46,American-Style Light (Low Calorie) Lager,American Light Lager,"These beers are extremely light colored, light in body, and high in carbonation. Calorie level should not exceed 125 per 12 ounce serving. Corn, rice, or other grain or sugar adjuncts are often used. Flavor is mild and hop bitterness and aroma is negligible to very low. Light fruity esters are acceptable. Chill haze and diacetyl should be absent.",5,10,3.5,4.4,2,4,1.024,1.002,1.008,2012-03-21 20:06:46,2015-04-07 15:39:35,https://brewerydb-images.s3.amazonaws.com/beer/WQsARu/upload_lw8e2e-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/WQsARu/upload_lw8e2e-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/WQsARu/upload_lw8e2e-large.png,https://brewerydb-images.s3.amazonaws.com/beer/WQsARu/upload_lw8e2e-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/WQsARu/upload_lw8e2e-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/WQsARu/upload_lw8e2e-contentAwareLarge.png,,,,,,,,
hd8yE8,Bud Light Platinum,Bud Light Platinum,6,94,N,verified,Verified,2012-03-14 12:22:52,2015-12-16 15:59:35,94,8,8,North American Lager,2012-03-21 20:06:46,American-Style Light (Low Calorie) Lager,American Light Lager,"These beers are extremely light colored, light in body, and high in carbonation. Calorie level should not exceed 125 per 12 ounce serving. Corn, rice, or other grain or sugar adjuncts are often used. Flavor is mild and hop bitterness and aroma is negligible to very low. Light fruity esters are acceptable. Chill haze and diacetyl should be absent.",5,10,3.5,4.4,2,4,1.024,1.002,1.008,2012-03-21 20:06:46,2015-04-07 15:39:35,https://brewerydb-images.s3.amazonaws.com/beer/hd8yE8/upload_tMQsPf-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/hd8yE8/upload_tMQsPf-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/hd8yE8/upload_tMQsPf-large.png,https://brewerydb-images.s3.amazonaws.com/beer/hd8yE8/upload_tMQsPf-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/hd8yE8/upload_tMQsPf-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/hd8yE8/upload_tMQsPf-contentAwareLarge.png,1.0,1.0,Year Round,Available year round as a staple beer.,,,,
LXWiDB,Bud Light Radler - Grapefuit,Bud Light Radler - Grapefuit,2.4,119,N,verified,Verified,2018-07-25 18:09:43,2018-07-25 18:09:43,119,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Fruit Beer,Fruit Beer,"Fruit beers are any beers using fruit or fruit extracts as an adjunct in either, the mash, kettle, primary or secondary fermentation providing obvious (ranging from subtle to intense), yet harmonious, fruit qualities. Fruit qualities should not be overpowered by hop character. If a fruit (such as juniper berry) has an herbal or spice quality, it is more appropriate to consider it in the herb and spice beers category. Acidic bacterial (not wild yeast) fermentation characters may be evident (but not necessary) they would contribute to acidity and enhance fruity balance. Clear or hazy beer is acceptable in appearance. A statement by the brewer explaining what fruits are used is essential in order for fair assessment in competitions. If this beer is a classic style with fruit, the brewer should also specify the classic style.",5,70,2.5,12,5,50,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:21,,,,,,,,,,,8,,,
jj280B,Bud Light Seltzer- Black Cherry,Bud Light Seltzer- Black Cherry,5,125,N,verified,Verified,2020-01-17 16:13:04,2020-01-17 16:13:04,125,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Specialty Beer,Specialty,"These beers are brewed using unusual fermentable sugars, grains and starches that contribute to alcohol content other than, or in addition to, malted barley. Nuts generally have some degree of fermentables, thus beers brewed with nuts would appropriately be entered in this category. The distinctive characters of these special ingredients should be evident either in the aroma, flavor or overall balance of the beer, but not necessarily in overpowering quantities. For example, maple syrup or potatoes would be considered unusual. Rice, corn, or wheat are not considered unusual. Special ingredients must be listed when competing. A statement by the brewer explaining the special nature of the beer, ingredient(s) and achieved character is essential in order for fair assessment in competitions. If this beer is a classic style with some specialty ingredient(s), the brewer should also specify the classic style. Guidelines for competing: Spiced beers using unusual fermentables should be entered in the experimental category. Fruit beers using unusual fermentables should be entered in the fruit beer category.",,100,2.5,25,1,100,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:53,,,,,,,,,,,,,,
M2kw9c,Bud Light Seltzer- Lemon Lime,Bud Light Seltzer- Lemon Lime,5,125,N,verified,Verified,2020-01-17 16:14:00,2020-01-17 16:14:00,125,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Specialty Beer,Specialty,"These beers are brewed using unusual fermentable sugars, grains and starches that contribute to alcohol content other than, or in addition to, malted barley. Nuts generally have some degree of fermentables, thus beers brewed with nuts would appropriately be entered in this category. The distinctive characters of these special ingredients should be evident either in the aroma, flavor or overall balance of the beer, but not necessarily in overpowering quantities. For example, maple syrup or potatoes would be considered unusual. Rice, corn, or wheat are not considered unusual. Special ingredients must be listed when competing. A statement by the brewer explaining the special nature of the beer, ingredient(s) and achieved character is essential in order for fair assessment in competitions. If this beer is a classic style with some specialty ingredient(s), the brewer should also specify the classic style. Guidelines for competing: Spiced beers using unusual fermentables should be entered in the experimental category. Fruit beers using unusual fermentables should be entered in the fruit beer category.",,100,2.5,25,1,100,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:53,,,,,,,,,,,,,,
agCYSU,Bud Light Seltzer- Mango,Bud Light Seltzer- Mango,5,125,N,verified,Verified,2020-01-17 16:15:32,2020-01-17 16:15:32,125,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Specialty Beer,Specialty,"These beers are brewed using unusual fermentable sugars, grains and starches that contribute to alcohol content other than, or in addition to, malted barley. Nuts generally have some degree of fermentables, thus beers brewed with nuts would appropriately be entered in this category. The distinctive characters of these special ingredients should be evident either in the aroma, flavor or overall balance of the beer, but not necessarily in overpowering quantities. For example, maple syrup or potatoes would be considered unusual. Rice, corn, or wheat are not considered unusual. Special ingredients must be listed when competing. A statement by the brewer explaining the special nature of the beer, ingredient(s) and achieved character is essential in order for fair assessment in competitions. If this beer is a classic style with some specialty ingredient(s), the brewer should also specify the classic style. Guidelines for competing: Spiced beers using unusual fermentables should be entered in the experimental category. Fruit beers using unusual fermentables should be entered in the fruit beer category.",,100,2.5,25,1,100,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:53,,,,,,,,,,,,,,
